問題a上,問題a下,問題b上,問題b下,解答,選択肢,識別番号
初夏の渓流を遡,する。,大臣の外遊に随,した。,行,こう,1823
失敗を激しい,吻でなじる。,論文の,述筆記を担当した。,口,こう,1887
,年期を迎える。,税額を,正する。,更,こう,2971
新,工業国の経済成長が著しい。,夙,して朝夕学問に励む。,興,こう,3927
肇,の精神が今も底流している。,挙,一致内閣を組織した。,国,こく,1877
階段で転んで肋,を折った。,恨み,髄に徹する。,骨,こつ,1879
彼は気,のある政治家だ。,叛,一筋の生涯だった。,骨,こつ,2943
為替の変動が,益を生む。,大臣が行政事務を,配する。,差,さ,1851
,興を披露して場を和ます。,,視するわけにはいかない。,座,ざ,1821
仏像は二体とも贋,と判明した。,報告書には,為のあとがあった。,作,さく,1815
犯行の証拠を詮,する。,解決の道を必死に模,する。,索,さく,2981
,駁な知識では間に合わない。,みるみる,踏にまぎれていった。,雑,ざっ,1827
隔りは道を挟んで,呼の間だ。,不誠実な態度を,弾する。,指,し,2959
友のために,肴を調える。,チームは勝利の美,に酔った。,酒,しゅ,2945
,老に教えを請う。,悪しき,弊を改める。,宿,しゅく,2983
変化のない日常に食,ぎみだ。,いわれない中,を受ける。,傷,しょく,1835
二代目が財産を蕩,した。,,日、外で営業する。,尽,じん,1805
県の,納長が選任された。,「,師の表」の一節を読む。,出,すい,3935
畢,の大事業をなしとげる。,,硬な文体でとっつきにくい。,生,せい,1829
苛,は虎よりも猛し。,あたう限りの善,を施した。,政,せい,1855
正義感に溢れた経,家だ。,蓋,の英傑として名高い。,世,せい,2967
著名人の真,とされる書だ。,不行,な主君を諫める。,跡,せき,1811
地層の堆,から研究が進む。,トラックが砂利を,載する。,積,せき,1873
犯人は忽,として姿を消した。,甘美な調べに陶,となる。,然,ぜん,1875
新しい土地で,外感を味わう。,人工の分布に,密がある。,疎,そ,1837
姑,な手段で敵を出し抜く。,我知らず嘆,していた。,息,そく,2977
閉,した経済状態を打ち破る。,人々が広場に塡,する。,塞,そく,3931
,爾ながら申し上げます。,倉,の間に事態が急転する。,卒,そつ,2973
,嬰的な気分になる。,勢力が,潮する。,退,たい,2957
推敲を重ねて,稿した。,,兎の勢いで飛び出す。,脱,だっ,1803
物資を掠,する。,詩歌を換骨,胎する。,奪,だつ,4070
,坐して目を閉じる。,舌,火を吐く。,端,たん,2985
広く世には喧,された事件だ。,師匠直,のレシピで作る。,伝,でん,1891
探検の壮,に就く。,野卑な習慣を,絶する。,途,と,2955
夢が叶わぬまま,齢を重ねる。,下,評通りの結果に終わる。,馬,ば,1857
若さを保つ,訣を公開する。,互いに,術を尽くしてたたかう。,秘,ひ,1849
戦場は酸,を極める。,資本主義の,祖と称される。,鼻,び,2987
国から法令が,達される。,,衣の交わりを大切にする。,布,ふ,1859
世界中に,塞感がただよう。,皇女は高い塔に幽,された。,閉,へい,1833
,履の如くなげうつ。,業界内の,習を改める。,弊,へい,2953
国史の,纂作業にいそしむ。,歴史書を,年体で記述する。,編,へん,4066
,百の作品を展示する。,,慮には及ばない。,凡,ぼん,2979
師匠に,腔の敬意を表する。,正義を,天下に示す。,満,まん,1853
財界に気,を通じる人がいる。,融資を受けて命,をつないだ。,脈,みゃく,2969
,餌療法を試みる。,,石効なく永眠いたしました。,薬,やく,1869
,明境を異にする。,,遠な世界が広がる。,幽,ゆう,2975
思わぬ,禄にあずかる。,戦後から十有,年が過ぎる。,余,よ,1825
私権の濫,はこれを許さず。,財政政策の効,が広がる。,用,よう,3933
一家は見る影もなく凋,した。,,丁本を交換してもらった。,落,らく,1861
犀,な感覚で時代を読む。,内外の価格差で,鞘を稼ぐ。,利,り,1799
国運の,昌を祈る。,新興企業の,替が激しい。,隆,りゅう,2965
