問題上,問題中,問題下,解答,識別文字,識別番号
コップの水が,零,れる。,こぼ,零こぼ,345
,杏,の実をジャムにする。,あんず,杏あんず,346
元の,鞘,におさまった。,さや,鞘さや,347
孫に,濃,やかな愛情を注ぐ。,こま,濃こま,348
祖父は百歳に,垂,とする。,なんなん,垂なんなん,1893
浜は,凪,で穏やかな夕暮れだ。,なぎ,凪なぎ,1894
,箆,でご飯を盛る。,へら,箆へら,1895
勢いよく流れる水を,堰,きとめる。,せ,堰せ,1896
検事の主張は,悉,く却下された。,ことごと,悉ことごと,1897
一帯が風雨の,煽,りを食らった。,あお,煽あお,1898
城の周りに,柵,をめぐらす。,とりで,柵とりで,1899
,鴫,の飛び立つ姿を目にする。,しぎ,鴫しぎ,1900
,凄,まじい勢いでゴールに向かう。,すさ,凄すさ,1901
解決するには,些,か難しい問題だ。,いささ,些いささ,1902
水底に,澱,がたまっている。,おり,澱おり,1903
親友の死を,戚,える。,うれ,戚うれ,1904
,歪,な形の痕が残る。,いびつ,歪いびつ,1905
その実力は師をも,凌,ぐ。,しの,凌しの,1906
水をやり忘れて花が,凋,んだ。,しぼ,凋しぼ,1907
鍛錬を,倦,むことなく続けた。,う,倦う,1908
,爾,、自らを知れ。,なんじ,爾なんじ,1909
,夙,くから趣味の釣りに出かける。,はや,夙はや,1910
,椛,の美しい庭園を歩く。,もみじ,椛もみじ,1911
,鼎,を使って食物を煮る。,かなえ,鼎かなえ,1912
,僻言,は聞きづらい。,ひがごと,僻言ひがごと,1913
状勢が変わり攻撃の,鋒,を収める。,ほこ,鋒ほこ,1914
,廓,の面影が残る城址を歩く。,くるわ,廓くるわ,1915
アルコールに,淫,る生活が続いた。,ふけ,淫ふけ,1916
その人のことは,夙,に知っていた。,つと,夙つと,1947
,穿,ったことを言う人だ。,うが,穿うが,1948
上様には,蔀,ごしに拝謁した。,しとみ,蔀しとみ,1949
戦に備えて矢を,矧,ぐ。,は,矧は,1950
,櫓,の上から火事を発見した。,やぐら,櫓やぐら,1951
悲劇的な結末を,戚,える。,うれ,戚うれ,1952
,苛,立ちを隠しきれずに怒鳴る。,いら,苛いら,1953
国王が長子に位を,遜,った。,ゆず,遜ゆず,1954
清水を手に,掬,んで飲む。,むす,掬むす,1955
奥の部屋から,咽,び泣く声が聞こえる。,むせ,咽むせ,1956
宿ではすばらしい,饗,しを受けた。,もてな,饗もてな,1957
心の中の,澱,を吐き出す。,おり,澱おり,1958
考え,倦,んだ末に相談した。,あぐ,倦あぐ,1959
子どもが母親に,纏,いつく。,まと,纏まと,1960
,縞柄,のシャツを着る。,しまがら,縞柄しまがら,1961
敵を,薙,ぎ倒して進む。,な,薙な,1962
干天が続き草木が,凋,む。,しぼ,凋しぼ,1963
,箆,で削って粘土に模様をつける。,へら,箆へら,1964
,鼎,の軽重を問う。,かなえ,鼎かなえ,1965
公園の,樫,の実を拾う。,かし,樫かし,1966
昔は,甑,を使って米を蒸した。,こしき,甑こしき,1967
,禿,びた鉛筆でメモをとる。,ち,禿ち,1968
,斑,模様の服を着る。,まだら,斑まだら,1969
その瞬間に望みが,潰,えた。,つい,潰つい,1970
彼は利に,慧,いといわれる。,さと,慧さと,2001
決定事項に,悉,く反発した。,ことごと,悉ことごと,2002
知人の,僻言,を聞き流す。,ひがごと,僻言ひがごと,2003
男女の,弄,れの声が聞こえてくる。,たわむ,弄たわむ,2004
台風が畑の作物を,薙,ぎ倒した。,な,薙な,2005
弾んだ心も,凋,んでしまった。,しぼ,凋しぼ,2006
,厭,な夢にうなされる。,いや,厭いや,2007
歩きながら一句,捻,る。,ひね,捻ひね,2008
セーターの上にコートを,套,ねる。,かさ,套かさ,2009
,厩,の馬を放牧する。,うまや,厩うまや,2010
死んでただの,骸,になってしまった。,むくろ,骸むくろ,2011
,縞柄,の粋な小袖を着ている。,しまがら,縞柄しまがら,2012
,儘,ならぬ世の中だ。,まま,儘まま,2013
,萌,え出す草木の息吹を感じる。,も,萌も,2014
,尖,った塔のシルエットが美しい。,とが,尖とが,2015
,堰,きとめられない思いが募る。,せ,堰せ,2016
,遁,れるように田舎に引きこもる。,のが,遁のが,2017
芳しい,匂,いに思わず振り向く。,にお,匂にお,2018
彼女はとても,聡,く賢い。,さと,聡さと,2019
鳩がパンくずを,啄,んでいる。,ついば,啄ついば,2020
,愈,、自分の出番が来た。,いよいよ,愈いよいよ,2021
気持ちの,昂,りを抑えきれない。,たかぶ,昂たかぶ,2022
その意見には,些,か納得しかねる。,いささ,些いささ,2023
海辺の宿に,逗,まることにした。,とど,逗とど,2024
美しい花を見て一句,捻,った。,ひね,捻ひね,2055
,凄,まじい形相でにらみつける。,すさ,凄すさ,2056
,尖,のとがった石を拾った。,さき,尖さき,2057
被害者の,骸,が発見された。,むくろ,骸むくろ,2058
次から次へと敵を,薙,ぎたおす。,な,薙な,2059
新時代の,萌,みを感じる。,めぐ,萌めぐ,2060
空にいくつもの,凧,が揚がっている。,たこ,凧たこ,2061
母の愚痴は聞き,厭,きた。,あ,厭あ,2062
悲しい運命に,弄,ばれた。,もてあそ,弄もてあそ,2063
新鮮な,鰯,で鮨を作る。,いわし,鰯いわし,2064
恩師の死を,戚,える。,うれ,戚うれ,2065
敵の窮状を見て,鋒,を収めた。,ほこ,鋒ほこ,2066
古寺の鐘を,撞,く。,つ,撞つ,2067
酒に,淫,る毎日を送っていた。,ふけ,淫ふけ,2068
糸を,撚,って丈夫な紐を作る。,よ,撚よ,2069
田んぼで,蛭,に血を吸われた。,ひる,蛭ひる,2070
ほつれた裾を,纏,ってもらう。,まつ,纏まつ,2071
理に,蒙,い人々を教え導く。,くら,蒙くら,2072
人の心は,儘,ならない。,まま,儘まま,2073
人の心を,玩,んだりしない。,もてあそ,玩もてあそ,2074
,尖,い刃に一瞬たじろいだ。,するど,尖するど,2075
完成まで,頃,く時間を要する。,しばら,頃しばら,2076
国の,鼎,を定める。,かなえ,鼎かなえ,2077
目を,凝,らして経過を見守る。,こ,凝こ,2078
春が訪れて,種籾,を播く。,たねもみ,種籾たねもみ,2989
,動,もすると手を抜きがちだ。,やや,動やや,2990
,惟,うにこれは当然の結果だった。,おも,惟おも,2991
,些,か物足りない説明だ。,いささ,些いささ,2992
ハンカチに,絢,を刺繡する。,あや,絢あや,2993
,恰,も実話のような話しぶりだった。,あたか,恰あたか,2994
無謀にも,筏,で急流を下る。,いかだ,筏いかだ,2995
月がだんだんと,盈,ちる。,み,盈み,2996
,斯,は誰のものですか。,これ,斯これ,2997
,堰,を切ったように話し始めた。,せき,堰せき,2998
まるで雲を,摑,むような話だ。,つか,摑つか,2999
捕れた,潤目鰯,を干物にする。,うるめいわし,潤目鰯うるめいわし,3000
突然の訪問に出鼻を,挫,かれた。,くじ,挫くじ,3001
,夙,に家を出発する。,つと,夙つと,3002
小窓から外の様子を,窺,う。,うかが,窺うかが,3003
,忽,ち人が集まってきた。,たちま,忽たちま,3004
勉強に,厭,きてしまった。,あ,厭あ,3005
河畔で集めた砂金を,淘,げる。,よな,淘よな,3006
日照り続きで花が,萎,れる。,しお,萎しお,3007
友情を,劃,かつ出来事があった。,わ,劃わ,3008
秋茄子を,鴫焼,きにして食べる。,しぎや,鴫焼しぎや,3009
大臣を,罷,めさせる。,や,罷や,3010
鍋に,鱈,の切り身を入れる。,たら,鱈たら,3011
その意見は勝者の,謂,だ。,いい,謂いい,3012
味方の勝利に,凱,をあげる。,かちどき,凱かちどき,3043
,巷,で話題の恐竜の映画を鑑賞する。,ちまた,巷ちまた,3044
,恰,も偶然出会ったかのように装う。,あたか,恰あたか,3045
松の幹に,菰,を巻きつける。,こも,菰こも,3046
,栃餅,は秋の季語だ。,とちもち,栃餅とちもち,3047
私の自慢の薔薇の,苑,をご覧ください。,その,苑その,3048
お祝いに,寓,けて家を訪問する。,かこつ,寓かこつ,3049
仕事の担当を,劃,かつ。,わ,劃わ,3050
,肱,を張って立ち入りを阻止する。,ひじ,肱ひじ,3051
,謀,し合わせたかのような偶然だ。,しめ,謀しめ,3052
大きな,罵,り声が聞こえてきた。,ののし,罵ののし,3053
荒れはてた建物に蔦が,蔓,る。,はびこ,蔓はびこ,3054
,笥子,に炊いたばかりの飯を盛る。,けこ,笥子けこ,3055
収穫の時期に,饗,の祭りが行われる。,あえ,饗あえ,3056
,面舵,を切って北北西に変針する。,おもかじ,面舵おもかじ,3057
家族が,亡骸,にすがって号泣した。,なきがら,亡骸なきがら,3058
仕事の状況は,捗捗,しくない。,はかばか,捗捗はかばか,3059
父は腕利きの,杢,として評判だ。,もく,杢もく,3060
,麿,は一人称だ。,まろ,麿まろ,3061
,閏年,は四年に一度めぐってくる。,うるうどし,閏年うるうどし,3062
,柾目,の美しい木材を選ぶ。,まさめ,柾目まさめ,3063
大きな,謬,りを正す。,あやま,謬あやま,3064
人の厚意を,疏,んじる。,うと,疏うと,3065
革の,靱,やかさを楽しむ。,しな,靱しな,3066
,蓋,し芸術の評価は難しい。,けだ,蓋けだ,3097
人を,蕩,かすような台詞をはく。,とろ,蕩とろ,3098
地方官の行政などを,按,べる。,しら,按しら,3099
両親は,鴛鴦,夫婦と呼ばれている。,おしどり,鴛鴦おしどり,3100
ハンカチに,絢,を刺繡する。,あや,絢あや,3101
,巷,の声を聞くことが大切だ。,ちまた,巷ちまた,3102
彼の作品は人生の,謂,にほかならない。,いい,謂いい,3103
母から譲られた,袷,に袖を通す。,あわせ,袷あわせ,3104
,惟,うに別の方策があったのではないか。,おも,惟おも,3105
打ち水の,沫,が顔にかかる。,しぶき,沫しぶき,3106
竹の皮を編んで,箕,を作る。,み,箕み,3107
鞭が,靱,やかな音をたてて振られる。,しな,靱しな,3108
紡いだ麻糸を巻いて,苧環,を作る。,おだまき,苧環おだまき,3109
夜道は人影が,疏,らだ。,まば,疏まば,3110
,爾,の命は神とともにある。,なんじ,爾なんじ,3111
,牡蠣,は冬がおいしいといわれる。,かき,牡蠣かき,3112
その,邑,は直轄地だった。,むら,邑むら,3113
球場は熱気に,蓋,われていた。,おお,蓋おお,3114
,謬,った考え方を訂正する。,あやま,謬あやま,3115
,拳,を上げて喜びを表現する。,こぶし,拳こぶし,3116
汗を,拭,って作業を続けた。,ぬぐ,拭ぬぐ,3117
誕生日に,寓,けて物をねだる。,かこつ,寓かこつ,3118
兄ばかり褒められ弟が,僻,む。,ひが,僻ひが,3119
過って,襖,を破いてしまった。,ふすま,襖ふすま,3120
,迺,ち復変じて一と為る。,すなわ,迺すなわ,3151
,恰,もその場にいるような感覚だ。,あたか,恰あたか,3152
人の気持ちを,翫,ぶな。,もてあそ,翫もてあそ,3153
川の,瀞,でいかだ遊びを楽しむ。,とろ,瀞とろ,3154
彼の一生は,荊,の道であった。,いばら,荊いばら,3155
,凧糸,を竹に巻き付ける。,たこいと,凧糸たこいと,3156
図書館にこもって読書に,耽,る。,る,耽る,3157
山肌に木々が,叢,立っている。,むら,叢むら,3158
,沓石,の上に柱を立てる。,くついし,沓石くついし,3159
田んぼの水路に,真菰,が自生する。,まこも,真菰まこも,3160
,奄,ちうわさが広まった。,たちま,奄たちま,3161
支流が盆地に,湊,まる。,あつ,湊あつ,3162
学思行相,須,つ。,ま,須ま,3163
,頻,りに催促の電話が掛かってくる。,しき,頻しき,3164
父は,頗,る機嫌がよい。,すこぶ,頗すこぶ,3165
道で,偶,旧友に会った。,たまたま,偶たまたま,3166
全員、,悉,く失敗した。,ことごと,悉ことごと,3167
,抑,それは可能なのだろうか。,そもそも,抑そもそも,3168
,惟,うにこれこそ最善の方法だ。,おも,惟おも,3169
,転,た同情の念に堪えない。,うた,転うた,3170
縁先で涼を,納,れる。,い,納い,3171
延焼による被害の拡大を,禦,ぐ。,ふせ,禦ふせ,3172
未だ,嘗,て聞いたことがない。,かつ,嘗かつ,3173
学校からは,凡,そ五百メートルだ。,およ,凡およ,3174
貴婦人は,郁,しい香りを漂わせていた。,かぐわ,郁かぐわ,3897
頂上から,巽,の方角を見下ろす。,たつみ,巽たつみ,3898
いつの間にか花が,凋,んでしまった。,しぼ,凋しぼ,3899
担任の先生に遅刻を,尤,められる。,とが,尤とが,3900
わが国の宇宙開発研究の,魁,である。,さきがけ,魁さきがけ,3901
昔の,誼,で口添えしてもらった。,よしみ,誼よしみ,3902
ぐずる子を,宥,めて幼稚園へ送る。,なだ,宥なだ,3903
恋の,柵,でがんじがらめになる。,しがらみ,柵しがらみ,3904
煮え切らない態度に,苛立,つ。,いらだ,苛立いらだ,3905
祖父は,閏年,の生まれだ。,うるうどし,閏年うるうどし,3906
名人と言われる人の,噺,に聞き入る。,はなし,噺はなし,4032
役人に対して,袖,の下を使う。,そで,袖そで,4033
,栂,の木で椅子を造った。,とが,栂とが,4034
学長の前に出て思わず,畏,まる。,かしこ,畏かしこ,4035
夏まつりで金魚,掬,いを楽しんだ。,すく,掬すく,4036
発言内容を,悉,く検討する。,ことごと,悉ことごと,4037
夕飯のおかずは,鱈,の香味焼きだ。,たら,鱈たら,4038
力は山を抜き気は世を,蓋,う。,おお,蓋おお,4039
青い,縦縞,のワイシャツを着る。,たてしま,縦縞たてしま,4040
京の街を,山鉾,が巡行する。,やまほこ,山鉾やまほこ,4041
今,猶,達者に暮らす。,なお,猶なお,4527
,窃,かに物を盗む。,ひそ,窃ひそ,4528
,太,だ迷惑している。,はなは,太はなは,4529
,仮令,高くても買う。,たとい,仮令たとい,4530
巧詐は拙誠に,如,かず。,し,如し,4531
,縮緬,の羽織を着る。,ちりめん,縮緬ちりめん,4532
極端に,趨,る。,はし,趨はし,4533
商店で日用品を,購,う。,あがな,購あがな,4534
国を,彊,くする。,つよ,彊つよ,4535
,梢,を切り落とす。,こずえ,梢こずえ,4536
月が青白く,耀,く。,かがや,耀かがや,4537
和装が,艶,かしい。,なまめ,艶なまめ,4538
,栃,の実の灰汁を抜く。,とち,栃とち,4539
異議を,称,える。,とな,称とな,4540
,黄昏,時に帰途に就く。,たそがれ,黄昏たそがれ,4541
,浅葱,色の服を着る。,あさぎ,浅葱あさぎ,4542
部隊の,殿,を務める。,しんがり,殿しんがり,4543
,錫,を産出する。,すず,錫すず,4544
国を長く,鎖,す。,とざ,鎖とざ,4545
えびで,鯛,を釣る。,たい,鯛たい,4546
己の立場を,弁,える。,わきま,弁わきま,4547
荒れた地面を,均,す。,なら,均なら,4548
,蝦蔓,の実が完熟する。,えびづる,蝦蔓えびづる,4549
書物を読み,漁,る。,あさ,漁あさ,4550
,鋤鍬,で開墾する。,すきくわ,鋤鍬すきくわ,4551
諸行無常の,理,。,ことわり,理ことわり,4552
,嵩高,に物を言う。,かさだか,嵩高かさだか,4553
,千尋,の谷底に落ちる。,ちひろ,千尋ちひろ,4554
椎茸を,栽培,する。,さいばい,栽培さいばい,4555
新調した帽子を,冠,る。,かむ,冠かむ,4556
,藁,にもすがる思い。,わら,藁わら,4557
,只管,無事を祈る。,ひたすら,只管ひたすら,4558
発展を,碍,げる。,さまた,碍さまた,4559
,屍,を人前にさらす。,しかばね,屍しかばね,4560
,鈍,色の雲に覆われる。,にび,鈍にび,4561
,兜,の緒を締める。,かぶと,兜かぶと,4562
,蒲,が生い茂る。,がま,蒲がま,4563
,努努,油断するな。,ゆめゆめ,努努ゆめゆめ,4564
,見窄,らしい家に住む。,みすぼ,見窄みすぼ,4565
,箆太,い声が響く。,のぶと,箆太のぶと,4566
,態,と見ぬふりをした。,わざ,態わざ,4567
息子は,申年,生まれだ。,さるどし,申年さるどし,4568
,瑞垣,を巡らす。,みずがき,瑞垣みずがき,4569
,利鎌,を振り下ろす。,とがま,利鎌とがま,4570
内憂外患,交,至る。,こもごも,交こもごも,4571
,沫雪,が深々と降る。,あわゆき,沫雪あわゆき,4572
よって,件,の如し。,くだん,件くだん,4573
,愛弟子,に説諭する。,まなでし,愛弟子まなでし,4574
書類を,紙撚,で綴じる。,こより,紙撚こより,4575
猿が林檎を,嚙,る。,かじ,嚙かじ,4576
壁一面に,蔦,が這う。,つた,蔦つた,4577
,妄,りに立ち入るな。,みだ,妄みだ,4578
,隼,が獲物を狙う。,はやぶさ,隼はやぶさ,4579
事故で,肋骨,が折れる。,ろっこつ,肋骨ろっこつ,4580
車が進まず,焦,れる。,じ,焦じ,4581
,雅,やかな格好をする。,みやび,雅みやび,4582
,真鰯,を塩焼きにする。,まいわし,真鰯まいわし,4583
,畦道,を歩いて帰る。,あぜみち,畦道あぜみち,4584
落石で道を,塞,ぐ。,ふさ,塞ふさ,4585
尾を途中に,曳,く。,ひ,曳ひ,4586
,楢,を切り倒す。,なら,楢なら,4587
旅で気分が,解,れる。,ほぐ,解ほぐ,4588
不正が,顕,れる。,あらわ,顕あらわ,4589
気を,緊,めて着手する。,し,緊し,4590
,薦被,りを奉納する。,こもかぶ,薦被こもかぶ,4591
老骨に,鞭,つ。,むちう,鞭むちう,4592
境界線に,杭,を打つ。,くい,杭くい,4593
野菜を,糠,に漬ける。,ぬか,糠ぬか,4594
,萌黄,色に布を染める。,もえぎ,萌黄もえぎ,4595
,一片,の花びらが舞う。,ひとひら,一片ひとひら,4596
,漫,ろに歩く。,そぞ,漫そぞ,4597
,裳着,の式を行う。,もぎ,裳着もぎ,4598
,黍餅,を振る舞う。,きびもち,黍餅きびもち,4599
,某,かの金が必要だ。,なにがし,某なにがし,4600
乾いた畑に水を,漑,ぐ。,そそ,漑そそ,4601
園庭で,蹴鞠,を楽しむ。,けまり,蹴鞠けまり,4602
進退,谷,まる。,きわ,谷きわ,4603
,妖,しい魅力がある。,あや,妖あや,4604
相手に不信感を,懐,く。,いだ,懐いだ,4605
暗闇の中で,摸,る。,さぐ,摸さぐ,4606
,椋鳥,が群がっている。,むくどり,椋鳥むくどり,4607
