意味,上漢字,上読み,下漢字,下読み,識別番号1,識別番号2,識別番号3,識別番号4,識別番号5
つまらないことでも何かの役に立つ,鶏鳴,けいめい,狗盗,くとう,2386,2399,,,
卓越した人物のこと,桂林,けいりん,一枝,いっし,4796,,,,
つらく悲しい別れを惜しむ様子,牽衣,けんい,頓足,とんそく,4797,,,,
勇気を出して思い切って実行すること,懸崖,けんがい,撒手,さっしゅ,4798,,,,
隣国との国境が複雑に入り組んで互いに牽制しあう様子,犬牙,けんが,相制,そうせい,4799,,,,
無理にこじつけること,牽強,けんきょう,附会,ふかい,750,791,4109,,
気性が激しい様子,剣戟,けんげき,森森,しんしん,4800,,,,
一度敗れた者が再び勢いを盛り返すこと,捲土,けんど,重来,ちょうらい,732,835,,,
堅くてじょうぶなさま,堅牢,けんろう,堅固,けんご,2333,,,,
歳月の過ぎるのが速い様子,光陰,こういん,如箭,じょせん,4801,,,,
激しく議論を戦わせること,口角,こうかく,飛沫,ひまつ,4802,,,,
才能がかえって災いを招くたとえ,膏火,こうか,自煎,じせん,2335,2345,,,
おごりたかぶって、へりくだる気持ちがない様子,傲岸,ごうがん,不遜,ふそん,4803,,,,
乱れた規律を正し、不正をなくすこと,綱紀,こうき,粛正,しゅくせい,4804,,,,
光彩が入り乱れて美しい様子,光彩,こうさい,陸離,りくり,4805,,,,
物事に注力して休む暇のない様子,孔席,こうせき,墨突,ぼくとつ,4806,,,,
広く果てしないこと,宏大,こうだい,無辺,むへん,4807,,,,
目上の人に尽くして仕えること,孝悌,こうてい,忠信,ちゅうしん,4808,,,,
言説などがでたらめでよりどころがないさま,荒唐,こうとう,無稽,むけい,2378,,,,
贅沢で立派な食事のたとえ,香美,こうび,脆味,ぜいみ,4809,,,,
西洋人のこと,紅毛,こうもう,碧眼,へきがん,4810,,,,
広くて立派な家のたとえ,光禄,こうろく,池台,のちだい,4811,,,,
議論がまとまらないこと,甲論,こうろん,乙駁,おつばく,780,785,3974,,
穀物が豊かに実る様子,五穀,ごこく,豊穣,ほうじょう,4812,,,,
古めかしくおもむきあるさま,古色,こしょく,蒼然,そうぜん,838,851,4103,,
私欲に打ち勝ち、礼儀を弁えること,克己,こっき,復礼,ふくれい,3463,4813,,,
太平で安楽な生活を喜び楽しむさま,鼓腹,こふく,撃壌,げきじょう,3428,,,,
悪事を働く化け物,狐狸,こり,妖怪,ようかい,2355,3435,,,
極楽往生を心から願うこと,欣求,ごんぐ,浄土,じょうど,723,858,4097,,
きわめて堅固で決して壊れないこと,金剛,こんごう,不壊,ふえ,837,,,,
不運な境遇にも打ち勝ち、志を曲げないこと,歳寒,さいかん,松柏,のしょうはく,4814,,,,
立派な男女のこと,才子,さいし,佳人,かじん,4815,,,,
質素な生活を送ること,採薪,さいしん,汲水,きゅうすい,3431,4816,,,
立ち居振る舞い,坐臥,ざが,行歩,こうほ,2343,2362,,,
天然の地形を生かした堅固な要塞のこと,山河,さんが,襟帯,きんたい,4817,,,,
三者が互いに向かい合って立つ様子,三者,さんしゃ,鼎立,ていりつ,4818,,,,
三十歳で自信をつけ、自分の学問を確立すること,三十,さんじゅう,而立,じりつ,4819,,,,
趣向や着想が際立って新しく、独特であること,斬新,ざんしん,奇抜,きばつ,709,,,,
言動に矛盾があること,自家,じか,撞着,どうちゃく,847,854,,,
自分の手中にあるもの,自家,じか,薬籠,やくろう,4820,,,,
ひたすらに座禅すること,只管,しかん,打坐,たざ,804,3450,,,
師匠の教えを弟子に受け継いでいくこと,師資,しし,相承,そうしょう,4821,,,,
激しい勢い,獅子,しし,奮迅,ふんじん,2364,3456,,,
死体が重なりあっている残酷な様子,死屍,しし,累累,るいるい,4822,,,,
生物は自然の状況、環境に適したもののみが残り、そうでないものは滅びるということ,自然,しぜん,淘汰,とうた,3398,,,,
ありとあらゆるものが成仏すること,悉皆,しっかい,成仏,じょうぶつ,4823,,,,
恨みを晴らすため大変に苦しい思いをすること,漆身,しっしん,吞炭,どんたん,4824,,,,
時代が激しく動き、大きな変化が社会に起こること,疾風,しっぷう,怒濤,どとう,3446,,,,
火急を要する状況,紫電,しでん,一閃,いっせん,781,4104,,,
人の手を加えず、ありのままに任せること,自然,じねん,法爾,ほうに,4825,,,,
詩文を作る人のこと,子墨,しぼく,客卿,かくけい,4826,,,,
敵に囲まれて、助けがない様子,四面,しめん,楚歌,そか,3373,3462,,,
出会って間もなく別れること,社燕,しゃえん,秋鴻,しゅうこう,4827,,,,
一定の基準や形式で、すべてを律しようとすること,杓子,しゃくし,定規,じょうぎ,2360,,,,
迷いから解き放たれた先に真の安楽があるということ,寂滅,じゃくめつ,為楽,いらく,4828,,,,
非常に数が多いこと,車載,しゃさい,斗量,とりょう,4829,,,,
容姿が美しい女性のたとえ,羞花,しゅうか,閉月,へいげつ,4830,,,,
思いがけずあわてふためくこと,周章,しゅうしょう,狼狽,ろうばい,2337,2417,,,
古い慣習に固執して融通が利かないこと,守株,しゅしゅ,待兎,たいと,4831,,,,
続けるか辞めるかという身の処し方,出処,しゅっしょ,進退,しんたい,4832,,,,
うるさいだけで、役に立たない無用な言論のたとえ,春蛙,しゅんあ,秋蟬,しゅうぜん,788,,,,
素直で飾り気がなく、かわいらしいこと,純情,じゅんじょう,可憐,かれん,4833,,,,
汚れなく清らかなさま,純真,じゅんしん,無垢,むく,738,797,,,
人情にあふれて素直であり、習慣も好ましいこと,醇風,じゅんぷう,美俗,びぞく,3404,,,,
排除しにくい悪事をたくらむ家臣のことをたとえていう,城孤,じょうこ,社鼠,しゃそ,3418,,,,
感情がまつわりついて離れないさま,情緒,じょうしょ,纏綿,てんめん,826,829,4110,,
自分にとって最も大切なもののこと,掌中,しょうちゅう,之珠,のたま,4834,,,,
いつも決まって使う方法,常套,じょうとう,手段,しゅだん,4835,,,,
見た目は笑顔だが、心のそこで悪いことを考えていること,笑面,しょうめん,夜叉,やしゃ,3421,,,,
互いに密接な関係にあること,唇歯,しんし,輔車,ほしゃ,4836,,,,
人間の体全体のこと,身体,しんたい,髪膚,はっぷ,4837,,,,
小さな力でも集まると非常に大きな力になるということ,水滴,すいてき,石穿,せきせん,4838,,,,
海と空が一続きになって、青々としていること,水天,すいてん,一碧,いっぺき,4839,,,,
物事の本質を追い求めること,推本,すいほん,遡源,そげん,4840,,,,
時の権力者に服従すること,趨炎,すうえん,附熱,ふねつ,4841,,,,
著述などが粗末で誤りが多いこと,杜撰,ずさん,脱漏,だつろう,2408,2424,,,
不可能なことを計画し、失敗して無駄になること,精衛,せいえい,塡海,てんかい,4842,,,,
病気に苦しむ美しい女性のたとえ,西施,せいし,捧心,ほうしん,4843,,,,
西方と東方の異民族,西戎,せいじゅう,東夷,とうい,4844,,,,
非常にものさびしいさま,凄凄,せいせい,切切,せつせつ,827,862,,,
学問の真理を究めた偉大な学者のたとえ,碩学,せきがく,大儒,たいじゅ,4845,,,,
大学者や名声の高い人,碩師,せきし,名人,めいじん,3397,,,,
助けを借りずに独りで物事に取り組むこと,赤手,せきしゅ,空拳,くうけん,712,3433,3966,,
優れた人にも欠点があり、また劣っている人にも長所があること,尺短,せきたん,寸長,すんちょう,4846,,,,
時間は非常に大切であるという教え,尺璧,せきへき,非宝,ひほう,4847,,,,
言葉で人を批評すること,舌端,ぜったん,月旦,げったん,813,,,,
ほどよく酒を飲んで、低い声で歌うこと,浅酌,せんしゃく,低唱,ていしょう,4848,,,,
一つのことも、いい加減にしてはいけないという教え,千射,せんしゃ,万箭,ばんせん,4849,,,,
古代中国で行われた主朝交代の方式,禅譲,ぜんじょう,放伐,ほうばつ,4850,,,,
立派な人物は幼少のころより優れているということ,栴檀,せんだん,双葉,のふたば,4851,,,,
目指すところがはるかに遠いこと,前途,ぜんと,遼遠,りょうえん,2384,4102,,,
物事のある一部分だけを見て、全体を批評すること,全豹,ぜんぴょう,一斑,いっぱん,765,,,,
平凡で面白みのないこと,千篇,せんぺん,一律,いちりつ,2382,4852,,,
男子が志を立てること,桑弧,そうこ,蓬矢,ほうし,4853,,,,
貧しくても気高く生きること,曾参,そうしん,歌声,のかせい,4854,,,,
様々なものに凝りだして、最終的に莫大な浪費に至るに違いないと見通すこと,象著,ぞうちょ,玉杯,ぎょくはい,736,,,,
民間人による為政者への厳しい批判,草茅,そうぼう,危言,きげん,716,825,,,
聖人がもつという四つの徳。優れた才能の持ち主,聡明,そうめい,叡知,えいち,4855,,,,
仲の悪い者が、共に一つの場所にいること,楚越,そえつ,同舟,どうしゅう,4856,,,,
他のところにいる人材を、重要な地位に取り立てて使うこと,楚材,そざい,晋用,しんよう,4857,,,,
客に出す酒食の謙遜語,粗酒,そしゅ,粗餐,そさん,777,831,,,
逃すことのできない好機,啐啄,そったく,同時,どうじ,776,815,,,
莫大な富を集めること,堆金,たいきん,積玉,せきぎょく,3376,,,,
非常に重いものと非常に軽いものの意から、隔たりのきわめてはなはだしいことのたとえ,泰山,たいざん,鴻毛,こうもう,3377,,,,
選択肢が多すぎて迷うこと,多岐,たき,亡羊,ぼうよう,763,3405,,,
危機から身のかわしようのない立場や状態,断崖,だんがい,絶壁,ぜっぺき,792,3369,,,
ちょっと書いたものの切れ端,断簡,だんかん,零墨,れいぼく,4858,,,,
清貧に甘んじることのたとえ,簞食,たんし,瓢飲,ひょういん,855,2421,,,
他人の文の一部を切り取って都合よく使うこと,断章,だんしょう,取義,しゅぎ,4859,,,,
理性ではなく美を重視する世界観,耽美,たんび,主義,しゅぎ,4860,,,,
つまらぬ物でも後で役立つことがある,竹頭,ちくとう,木屑,ぼくせつ,2403,3390,,,
知力が乏しいにもかかわらず大きな計画を立てること,知小,ちしょう,謀大,ぼうだい,4861,,,,
有力者がある地位をめぐって相争うことのたとえ,中原,ちゅうげん,逐鹿,ちくろく,3449,,,,
人生のはかないことのたとえ,朝盈,ちょうえい,夕虚,せききょ,719,778,4100,,
ごくありふれた平凡な人,張三,ちょうさん,李四,りし,828,3441,,,
背が高く、かつ、やせている細身のからだつきのこと,長身,ちょうしん,痩軀,そうく,3422,,,,
建物を頻繁に壊したり、作ったりする様子,朝穿,ちょうせん,暮塞,ぼそく,4862,,,,
長く続いている海岸線,長汀,ちょうてい,曲浦,きょくほ,3400,3455,,,
大きすぎて逆に役に立たないことのたとえ,長鞭,ちょうべん,馬腹,ばふく,2388,3461,,,
自分の信ずるところを遠慮なく目上の人に忠告すること,直言,ちょくげん,極諫,きょっかん,4863,,,,
目的に向かいがむしゃらに突きすすむこと,猪突,ちょとつ,猛進,もうしん,726,2330,4098,,
世の中が太平に治まったり乱れたり、国が興ったり亡びたりすること,治乱,ちらん,興亡,こうぼう,3442,,,,
絶世の美人の形容,沈魚,ちんぎょ,落雁,らくがん,798,859,4105,,
物事に深く通じて、伸びやかである様子,通暁,つうぎょう,暢達,ちょうたつ,833,3436,,,
学問の真理を究めた偉大な学者のたとえ,通儒,つうじゅ,碩学,せきがく,4864,,,,
髪を剃って仏門に入ること,剃髪,ていはつ,落飾,らくしょく,2336,4865,,,
優れた人や物を探し求めること,鉄網,てつもう,珊瑚,さんご,4866,,,,
相手を誘う甘い言葉,甜言,てんげん,蜜語,みつご,805,866,3434,,
勢いが激しい様子,電光,でんこう,雷轟,らいごう,4867,,,,
天地とともに永遠に極まりなく続くさま,天壌,てんじょう,無窮,むきゅう,3417,,,,
天つ神と国つ神。 すべての神々,天神,てんじん,地祇,ちぎ,758,,,,
天地はいつまでも変わらないで、あり続けること,天長,てんちょう,地久,ちきゅう,4868,,,,
微力でも努力しだいで成功するたとえ,点滴,てんてき,穿石,せんせき,753,836,3972,,
思いがけない偶然のたすけ,天佑,てんゆう,神助,しんじょ,714,756,,,
落ち着きのないさま,東窺,とうき,西望,せいぼう,717,822,,,
外見ばかり立派で役に立たないたとえ,陶犬,とうけん,瓦鶏,がけい,821,863,3970,,
同じ立場にあっても、考えや目指すものが違うこと,同床,どうしょう,異夢,いむ,4869,,,,
言葉と行い,動静,どうせい,云為,うんい,4870,,,,
知識などの理解がいい加減で、しっかり自分のものになっていないこと,道聴,どうちょう,塗説,とせつ,783,4106,,,
堂や塔のある寺の建物。 寺院,堂塔,どうとう,伽藍,がらん,2404,,,,
物事の道筋と関係なく仲間に味方しそれ以外の者を攻撃すること,党同,とうどう,伐異,ばつい,4871,,,,
同じ病気に苦しんでいる人が、互いに同情しあうこと,同病,どうびょう,相憐,そうれん,4872,,,,
まとまっていたものが、複数に分かれること,豆剖,とうぼう,瓜分,かぶん,4873,,,,
優秀な人材が集まること,桃李,とうり,満門,まんもん,762,794,,,
世の中にありえないもののたとえ,兎角,とかく,亀毛,きもう,824,832,,,
手に何も持っていないこと,徒手,としゅ,空拳,くうけん,3401,,,,
道や川が曲がりくねっている様子,斗折,とせつ,蛇行,だこう,4874,,,,
兄弟の仲が悪いこと,斗粟,とぞく,尺布,しゃくふ,4875,,,,
土が崩れ、かわらがばらばらに砕けるように、物事が崩れて手の付けようがないたとえ,土崩,どほう,瓦解,がかい,3396,,,,
筋道。道理,途方,とほう,途轍,とてつ,4876,,,,
優秀な人材を熱心に探し求める様子,吐哺,とほ,捉髪,そくはつ,4877,,,,
丁重なお辞儀,頓首,とんしゅ,再拝,さいはい,746,860,,,
怒りを抑えて声に出さないこと,忍気,にんき,吞声,どんせい,4878,,,,
熱心に願うことと、冷静に物事の本質を明らかにすること,熱願,ねつがん,冷諦,れいてい,4879,,,,
物を見抜く力があること,燃犀,ねんさい,之明,のめい,4880,,,,
優れた人物は能力を人前でひけらかさないといこと,能鷹,のうよう,隠爪,いんそう,4881,,,,
人々の間に伝わるうわさなどを歴史風に書いたもの,稗官,はいかん,野史,やし,4882,,,,
酒をくみ交わして仲直りすること,杯酒,はいしゅ,解怨,かいえん,713,875,,,
世の中の変化が速いこと,白衣,はくい,蒼狗,そうく,4883,,,,
反乱が起こり君主に危険が迫る予兆のこと,白虹,はくこう,貫日,かんじつ,4884,,,,
国の滅亡を嘆き悲しむこと,麦秀,ばくしゅう,黍離,しょり,747,856,,,
手をたたきながら、大声でほめたたえること,拍手,はくしゅ,喝采,かっさい,3427,,,,
月日・時間,白兎,はくと,赤烏,せきう,801,2361,,,
知識や経験が豊富であること,博聞,はくぶん,彊識,きょうしき,806,3407,,,
いい加減な言動で、ほころびが出ること,破綻,はたん,百出,ひゃくしゅつ,3460,4885,,,
賢人がしかるべき地位に重用されず、在野にあること,八駒,はっく,空谷,くうこく,4886,,,,
全世界が一つ屋根の下にあるという考え,八紘,はっこう,一宇,いちう,4887,,,,
威勢がよく勇ましいこと,抜山,ばつざん,蓋世,がいせい,3379,3406,,,
災いの原因をもとから取り除くこと,抜本,ばっぽん,塞源,そくげん,3383,3403,,,
遠い外国,波濤,はとう,万里,ばんり,720,771,4107,,
広範な知識を持ち、観察が鋭いこと,飛耳,ひじ,長目,ちょうもく,4888,,,,
朝から夜まで懸命に働くこと,披星,ひせい,戴月,たいげつ,722,768,3976,,
文筆で暮らしを立てること,筆耕,ひっこう,硯田,けんでん,3420,,,,
顔だちが美しく整っていること,眉目,びもく,秀麗,しゅうれい,715,774,,,
到達しうる最高点,百尺,ひゃくせき,竿頭,かんとう,752,3443,,,
非常に賢いこと,百伶,ひゃくれい,百利,ひゃくり,4889,,,,
文化や芸術が自由活発に行われること,百花,ひゃっか,斉放,せいほう,4890,,,,
心が澄んでいる様子,氷壺,ひょうこ,秋月,しゅうげつ,4891,,,,
悪事を取り締まる側と、取り締まられる側が共謀すること,猫鼠,びょうそ,同眠,どうみん,4892,,,,
女性が権力を握ること,牝鶏,ひんけい,牡鳴,ぼめい,4893,,,,
風にさらされて食事をし、露に濡ぬれて野宿すること,風餐,ふうさん,露宿,ろしゅく,2409,,,,
非常に憎しみが深いこと,不倶,ふぐ,戴天,たいてん,724,744,840,,
世間に知られずにいる大人物と将来有望な若者のたとえ,伏竜,ふくりゅう,鳳雛,ほうすう,3380,,,,
物事の要点を的確にとらえること,不失,ふしつ,正鵠,せいこく,2405,3384,,,
自分の身をかえりみないで物事にあたること,不惜,ふしゃく,身命,しんみょう,2356,,,,
根本の原因を取り除くこと,釜底,ふてい,抽薪,ちゅうしん,841,4894,,,
巧みに言葉をもてあそび、事実を曲げて書くこと,舞文,ぶぶん,曲筆,きょくひつ,4895,,,,
外見と内面が調和していること,文質,ぶんしつ,彬彬,ひんぴん,811,845,3457,,
書物を焼き捨て、儒学者を生き埋めにすること,焚書,ふんしょ,坑儒,こうじゅ,3371,,,,
ささいなことが大事件を引き起こすこと,蚊虻,ぶんぼう,走牛,そうぎゅう,754,3374,,,
能力などに差がないこと,並駕,へいが,斉駆,せいく,4896,,,,
美しい女性のたとえ,閉月,へいげつ,羞花,しゅうか,4897,,,,
日常のありふれた言葉,平談,へいだん,俗語,ぞくご,4898,,,,
世間と触れる機会を断つこと,閉明,へいめい,塞聡,そくそう,4899,,,,
考えが偏っていて、強情な様子,偏僻,へんぺき,蔽固,へいこ,4900,,,,
恨みを向けられている相手にも愛情を注ぎ、利益を与えること,報怨,ほうえん,以徳,いとく,4901,,,,
世の中が平和に治まっている様子,鳳凰,ほうおう,来儀,らいぎ,4902,,,,
はるかに遠い道程や前途が遠大であることのたとえ,鵬程,ほうてい,万里,ばんり,834,,,,
身だしなみに無頓着で、むさくるしいこと,蓬頭,ほうとう,垢面,こうめん,759,,,,
利害が一致する仲間が助け合い、それ以外の者を排除すること,法党,ほうとう,比周,ひしゅう,4903,,,,
酒色におぼれて身を持ちくずすこと,放蕩,ほうとう,無頼,ぶらい,773,787,3965,,
ひっくり返るほど笑い崩れること,捧腹,ほうふく,絶倒,ぜっとう,3437,3444,,,
腹をかかえて笑うこと,捧腹,ほうふく,大笑,たいしょう,4904,,,,
人生がはかないことのたとえ,泡沫,ほうまつ,夢幻,むげん,718,823,,,
あとの祭りのたとえ,亡羊,ぼうよう,補牢,ほろう,2354,2390,,,
夕暮れどきの、徐々にあたりが薄暗くなっていく様子,暮色,ぼしょく,蒼然,そうぜん,789,,,,
猛烈に勉強すること,磨穿,ません,鉄硯,てっけん,772,810,,,
これから未来にわたる、果てしなく長い年月。永遠,未来,みらい,永劫,えいごう,3378,,,,
つじつまが合わないこと,矛盾,むじゅん,撞着,どうちゃく,3395,3458,,,
知識がなく愚かな様子,無智,むち,蒙昧,もうまい,4905,,,,
聡明で事理に通じている人は危険を察知して身の安全を保つこと,明哲,めいてつ,保身,ほしん,4906,,,,
失った名誉や信用を取り戻すこと,名誉,めいよ,挽回,ばんかい,4907,,,,
出会うことが非常にむずかしいこと,盲亀,もうき,浮木,ふぼく,770,782,,,
孟子の母が、孟子の教育のために三度も住居を遷ったとの故事,孟母,もうぼ,三遷,さんせん,3426,,,,
何ごとも途中でやめては何にもならない,孟母,もうぼ,断機,だんき,3382,3445,,,
相手の隠している事柄を、巧妙な尋問で明らかにすること,問牛,もんぎゅう,知馬,ちば,4908,,,,
訪問客もなくさびれ果てた様子,門前,もんぜん,雀羅,じゃくら,809,3412,,,
権力者の実力を疑うこと,問鼎,もんてい,軽重,けいちょう,4909,,,,
自分の立場に満足していないこと,冶金,やきん,踊躍,ようやく,2340,2396,,,
自分の力を過信して横柄な態度をとること,夜郎,やろう,自大,じだい,807,3464,,,
