識別番号,頻出度,分野,頁,正誤1,問題番号,文章,漢字,読み,送り仮名,補足
23,A,a読み,①,x,23,生活のため玩具などを粥ぐ。,粥,ひさ,ぐ,訓読み
24,A,a読み,①,x,24,我が子の幼い仕草に心が和む。,幼,いとけな,い,訓読み
25,A,a読み,①,,25,過激派が騒擾を起こした。,騒擾,そうじょう,,音読み
26,A,a読み,①,x,26,嚇怒した顔で睨みつける。,嚇怒,かくど,,音読み
27,A,a読み,①,x,27,汀渚に野鳥が群れている。,汀渚,ていしょ,,音読み
28,A,a読み,①,x,28,這般の状勢により撤退を決定した。,這般,しゃはん,,音読み
29,A,a読み,①,x,29,儲君として厳格な教育を受ける。,儲君,ちょくん,,音読み
30,A,a読み,①,x,30,事件現場の近くで景観に誰何された。,誰何,すいか,,音読み
31,A,a読み,①,x,31,座布団にすわり脇息で体を支える。,脇息,きょうそく,,音読み
32,A,a読み,①,x,32,菩薩の弘誓は海のように広く深い。,弘誓,ぐぜい,,音読み
33,A,a読み,①,,33,天皇の後胤として大切にされる。,後胤,こういん,,音読み
34,A,a読み,①,x,34,敵陣突破に快哉を叫ぶ。,快哉,かいさい,,音読み
35,A,a読み,①,x,35,鶯遷を祝い、宴会を催す。,鶯遷,おうせん,,音読み
36,A,a読み,①,x,36,壺中の天に遊ぶ。,壺中,こちゅう,,音読み
37,A,a読み,①,x,37,一揖してその場を去った。,一揖,いちゆう,,音読み
38,A,a読み,①,x,38,両国の関係は危殆に瀕している。,危殆,きたい,,音読み
39,A,a読み,①,x,39,些細なことかた紛擾した。,紛擾,ふんじょう,,音読み
40,A,a読み,①,,40,釜中の魚、絶体絶命だ。,釜中,ふちゅう,,音読み
41,A,a読み,①,,41,上巳は五節句の一つだ。,上巳,じょうし,,音読み
42,A,a読み,①,x,42,井蛙大海を知らず。,井蛙,せいあ,,音読み
43,A,a読み,①,x,43,穆として清風の如き人だ。,穆,ぼく,,音読み
44,A,a読み,①,x,44,身分を越えた杵臼の交わりを持つ。,杵臼,しょきゅう,,音読み
45,A,a読み,①,x,45,旅の宿で灘響を聞く。,灘響,だんきょう,,音読み
46,A,a読み,①,,46,切手を貼付する。,貼付,ちょうふ,,音読み
47,A,a読み,①,x,47,世界の古諺を比較する。,古諺,こげん,,音読み
48,A,a読み,①,x,48,豪宕な性格で一目おかれている。,豪宕,ごうとう,,音読み
49,A,a読み,①,,49,彼を総裁として推戴する。,推戴,すいたい,,音読み
50,A,a読み,①,,50,積年の怨念を晴らす。,怨念,おんねん,,音読み
51,A,a読み,①,x,51,巽言の重みに感服する。,巽言,そんげん,,音読み
52,A,a読み,①,x,52,火事のため烏有に帰してしまった。,烏有,うゆう,,音読み
53,A,a読み,①,x,53,生まれた子馬の牝牡を確かめる。,牝牡,ひんぼ,,音読み
54,A,a読み,①,,54,謬言を恥じて口をつぐむ。,謬言,びゅうげん,,音読み
55,A,a読み,②,,1,お礼の手紙を認める。,認,したた,める,訓読み
56,A,a読み,②,,2,彼の成功に肖りたい。,肖,あやか,る,訓読み
57,A,a読み,②,x,3,鵜の目鷹の目で狙っている。,鵜,う,,訓読み
58,A,a読み,②,x,4,この論説は時流に阿っている。,阿,おもね,る,訓読み
59,A,a読み,②,x,5,作品が苛い評価をされる。,苛,から,い,訓読み
60,A,a読み,②,,6,落語家の噺を聞く。,噺,はなし,,訓読み
61,A,a読み,②,,7,人の親切を蔑ろにする。,蔑,ないがし,ろ,訓読み
62,A,a読み,②,,8,泣く子を必死に宥めている。,宥,なだ,める,訓読み
63,A,a読み,②,,9,脱穀後の籾がらを掃除する。,籾,もみ,,訓読み
64,A,a読み,②,,10,煽てられていい気になる。,煽,おだ,てる,訓読み
65,A,a読み,②,,11,母の死を戚む。,戚,いた,む,訓読み
66,A,a読み,②,x,12,その決定は大きな歪みを生んだ。,歪,ひず,む,訓読み
67,A,a読み,②,,13,昔の誼で口ききしてくれた。,誼,よしみ,,訓読み
68,A,a読み,②,x,14,笈を背負って行脚に出かけた。,笈,おい,,訓読み
69,A,a読み,②,,15,次々に案件を捌いていく。,捌,さば,く,訓読み
70,A,a読み,②,x,16,そのシーンは宛ら映画のようだ。,宛,さなが,ら,訓読み
71,A,a読み,②,x,17,二人の問題は姑く置いておく。,姑,しばら,く,訓読み
72,A,a読み,②,x,18,鐙を蹴って馬に合図を送る。,鐙,あぶみ,,訓読み
73,A,a読み,②,x,19,海外に坐らにして日本の事件を知る。,坐,いなが,ら,訓読み
74,A,a読み,②,,20,作物を蝕む害虫を排除する。,蝕,むしば,む,訓読み
75,A,a読み,②,x,21,賂いの品と知り受け取りを拒否する。,賂,まいな,う,訓読み
76,A,a読み,②,x,22,雪の上に轍が続いている。,轍,わだち,,訓読み
77,A,a読み,②,,23,小さな穴から部屋の中を覗いた。,覗,のぞ,く,訓読み
78,A,a読み,②,,24,俄か評論家になって批評する。,俄,にわ,かに,訓読み
79,A,a読み,②,,25,地域の俗諺を調べる。,俗諺,ぞくげん,,音読み
80,A,a読み,②,x,26,案内役の雛僧。,雛僧,すうそう,,音読み
81,A,a読み,②,x,27,孜孜として学問に励む。,孜孜,しし,,音読み
82,A,a読み,②,,28,時代を見抜く慧眼で危機を乗り切る。,慧眼,けいがん,,音読み
83,A,a読み,②,x,29,この辺りは建物が櫛比している。,櫛比,しっぴ,,音読み
84,A,a読み,②,x,30,土地の稗史に興味がある。,稗史,はいし,,音読み
85,A,a読み,②,,31,未だ父母の膝下に留まる。,膝下,しっか,,音読み
86,A,a読み,②,,32,同盟の紐帯となる条約を結ぶ。,紐帯,ちゅうたい,,音読み
87,A,a読み,②,x,33,禰宜は神主の下に位する。,禰宜,ねぎ,,音読み
88,A,a読み,②,x,34,仕事での失敗を弥縫する。,弥縫,びほう,,音読み
89,A,a読み,②,,35,儲君には厳しい作法をしつける。,儲君,ちょくん,,音読み
90,A,a読み,②,x,36,演習用に廠舎が仮設される。,廠舎,しょうしゃ,,音読み
91,A,a読み,②,x,37,祁寒でも子供たちは元気だ。,祁寒,きかん,,音読み
92,A,a読み,②,x,38,郁郁たる梅花に時を忘れる。,郁郁,いくいく,,音読み
93,A,a読み,②,,39,翠嵐のなかを歩く。,翠嵐,すいらん,,音読み
94,A,a読み,②,,40,穆穆たる天子に仕える。,穆穆,ぼくぼく,,音読み
95,A,a読み,②,x,41,熊胆は胃薬などとして珍重される。,熊胆,ゆうたん,,音読み
96,A,a読み,②,x,42,彼とは爾汝の間柄だ。,爾汝,じじょ,,音読み
97,A,a読み,②,,43,サッカーで頸椎を損傷する。,頸椎,けいつい,,音読み
98,A,a読み,②,x,44,暴戻な領主に抗議する。,暴戻,ぼうれい,,音読み
99,A,a読み,②,,45,花の描かれた罫紙を購入する。,罫紙,けいし,,音読み
100,A,a読み,②,x,46,蔚蔚たる原始林が広がる。,蔚蔚,うつうつ,,音読み
101,A,a読み,②,,47,抹消にとらわれて本質を忘れる。,抹消,まっしょう,,音読み
102,A,a読み,②,,48,宇宙工学の碩学として有名だ。,碩学,せきがく,,音読み
103,A,a読み,②,,49,政治家の疑惑が払拭できない。,払拭,ふっしょく,,音読み
104,A,a読み,②,x,50,晦渋な文章を読み下す。,晦渋,かいじゅう,,音読み
105,A,a読み,②,x,51,夙夜、仕事に勤しむ。,夙夜,しゅくや,,音読み
106,A,a読み,②,x,52,翠黛の山に絵筆をとる。,翠黛,すいたい,,音読み
107,A,a読み,②,,53,植物が土地に馴化していく。,馴化,じゅんか,,音読み
108,A,a読み,②,,54,文化人類学に造詣が深い。,造詣,ぞうけい,,音読み
109,A,a読み,③,x,1,歌舞伎の立ち回りで砧拍子が響く。,砧,きぬた,,訓読み
110,A,a読み,③,,2,完成は偏に君の努力によるものだ。,偏,ひとえ,,訓読み
111,A,a読み,③,x,3,着物の女性の艶姿に見とれる。,艶姿,あですがた,,訓読み
112,A,a読み,③,,4,韮には独特のにおいがある。,韮,にら,,訓読み
113,A,a読み,③,x,5,私たちの媒は会社の部長です。,媒,なかだち,,訓読み
114,A,a読み,③,x,6,醬とは、なめ味噌の一種だ。,醬,ひしお,,訓読み
115,A,a読み,③,x,7,幼子の柔らかい髪を櫛る。,櫛,くしけず,る,訓読み
116,A,a読み,③,,8,庭先に鴇色の花が咲き乱れる。,鴇色,ときいろ,,訓読み
117,A,a読み,③,x,9,山と山の硲をひたすら進む。,硲,はざま,,訓読み
118,A,a読み,③,,10,稲から籾殻を取り除く。,籾殻,もみがら,,訓読み
119,A,a読み,③,,11,解決策がない難題を店晒しにする。,店晒,たなざら,,訓読み
120,A,a読み,③,,12,擢んでたセンスで業界のトップとなる。,擢,ぬき,んでる,訓読み
121,A,a読み,③,,13,蔑みをこめて睨みつける。,蔑,さげす,む,訓読み
122,A,a読み,③,,14,その古戦場は巽の方角にある。,巽,たつみ,,訓読み
123,A,a読み,③,x,15,哨を門に立たせて警備を強化する。,哨,みはり,,訓読み
124,A,a読み,③,,16,強力な助っ人のおかげで捗った。,捗,はかど,る,訓読み
125,A,a読み,③,,17,子どもの姦しい声が聞こえる。,姦,かしま,,訓読み
126,A,a読み,③,x,18,瀆れた心で朗読しないでほしい。,瀆,けが,れる,訓読み
127,A,a読み,③,,19,祭りで榊の枝を使う。,榊,さかき,,訓読み
128,A,a読み,③,,20,地図を辿って目的地に着く。,辿,たど,る,訓読み
129,A,a読み,③,x,21,舷をつかんで揺れに耐えた。,舷,ふなばた,,訓読み
130,A,a読み,③,,22,雪が解けて雫がしたたっている。,雫,しずく,,訓読み
131,A,a読み,③,,23,厳しい言葉に萎れ返った。,萎,しお,れる,訓読み
132,A,a読み,③,,24,相手の怯む隙に攻め込んだ。,怯,ひる,む,訓読み
133,A,a読み,③,x,25,古句を補綴し詩文を作る。,補綴,ほてい,,音読み
134,A,a読み,③,,26,耳を聾する騒音が安眠を妨げた。,聾,ろう,する,音読み
135,A,a読み,③,x,27,父の枕頭にはいつも本がある。,枕頭,ちんとう,,音読み
136,A,a読み,③,,28,堂内の厨子に秘仏を安置する。,厨子,ずし,,音読み
137,A,a読み,③,x,29,融通無碍の境地に達する。,無碍,むげ,,音読み
138,A,a読み,③,,30,亥月を迎えて紅葉が見頃だ。,亥月,がいげつ,,音読み
139,A,a読み,③,x,31,舞台で艶冶な舞いを披露する。,艶冶,えんや,,音読み
140,A,a読み,③,x,32,吹雪の中、蓑笠の翁に出会った。,蓑笠,さりゅう,,音読み
141,A,a読み,③,x,33,古代中国では亀卜で占った。,亀卜,きぼく,,音読み
142,A,a読み,③,,34,長身痩軀でモデルのようだ。,痩軀,そうく,,音読み
143,A,a読み,③,x,35,徽章を胸につける。,徽章,きしょう,,音読み
144,A,a読み,③,x,36,蟬脱の境地に達する。,蟬脱,せんだつ,,音読み
145,A,a読み,③,x,37,犀利な筆致でぐいぐい読ませる。,犀利,さいり,,音読み
146,A,a読み,③,,38,助役が瀆職で捕まった。,瀆職,とくしょく,,音読み
147,A,a読み,③,,39,互いに署名捺印する。,捺印,なついん,,音読み
148,A,a読み,③,x,40,番傘には桐油を使う。,桐油,とうゆ,,音読み
149,A,a読み,③,,41,死を悼み挽歌を送る。,挽歌,ばんか,,音読み
150,A,a読み,③,x,42,猛獣が爪牙を向けて獲物に迫る。,爪牙,そうが,,音読み
151,A,a読み,③,,43,熊掌は中国で美味の象徴とされている。,熊掌,ゆうしょう,,音読み
152,A,a読み,③,x,44,激しい口吻でなじられた。,口吻,こうふん,,音読み
153,A,a読み,③,,45,周囲の疑惑を払拭する。,払拭,ふっしょく,,音読み
154,A,a読み,③,x,46,正月から椿事が起こる。,椿事,ちんじ,,音読み
155,A,a読み,③,x,47,彼はなかなかの尤物だ。,尤物,ゆうぶつ,,音読み
156,A,a読み,③,x,48,禾穀の豊かな土地で生活する。,禾穀,かこく,,音読み
157,A,a読み,③,x,49,厩舎からいななきが聞こえる。,厩舎,きゅうしゃ,,音読み
158,A,a読み,③,x,50,乃公とは自分のことを指す。,乃公,だいこう,,音読み
159,A,a読み,③,x,51,堰堤を設けて川の水位を調整する。,堰堤,えんてい,,音読み
160,A,a読み,③,x,52,僧侶が錫杖を鳴らす。,錫杖,しゃくじょう,,音読み
161,A,a読み,③,,53,先生に欽慕の情を抱く。,欽慕,きんぼ,,音読み
162,A,a読み,③,x,54,彼此の別について論議する。,彼此,ひし,,音読み
163,A,a読み,④,,1,梯を使って屋根の修理をする。,梯,はしご,,訓読み
164,A,a読み,④,,2,八重葎の覆う庭で過ごす。,八重葎,やえむぐら,,訓読み
165,A,a読み,④,x,3,歳を重ね何事も恕せるようになった。,恕,ゆる,す,訓読み
166,A,a読み,④,,4,袖の綻びを直してもらう。,綻,ほころ,ぶ,訓読み
167,A,a読み,④,,5,論語に「矩をこえず」とある。,矩,のり,,訓読み
168,A,a読み,④,,6,無人の苫屋で一晩雨露を凌ぐ。,苫屋,とまや,,訓読み
169,A,a読み,④,,7,牛肉の佃煮が好物だ。,佃煮,つくだに,,訓読み
170,A,a読み,④,x,8,瓢に酒を入れて小山を散策する。,瓢,ふくべ,,訓読み
171,A,a読み,④,,9,「瑞穂の国」との美称が使われる。,瑞穂,みずほ,,訓読み
172,A,a読み,④,x,10,昔は、藁で作った沓を履いていた。,沓,くつ,,訓読み
173,A,a読み,④,,11,洋服を矢鱈に買い込んだ。,矢鱈,やたら,,訓読み
174,A,a読み,④,,12,凍てつく朝に新聞を配る。,凍,い,てつく,訓読み
175,A,a読み,④,,13,周く知られるところとなった。,周,あまね,く,訓読み
176,A,a読み,④,x,14,わが社はネット産業の魁といわれる。,魁,さきがけ,,訓読み
177,A,a読み,④,,15,人心を煽って暴動を起こす。,煽,あお,る,訓読み
178,A,a読み,④,x,16,昔の戦争には鑓が使われた。,鑓,やり,,訓読み
179,A,a読み,④,,17,牡馬の蹄の音が鳴り響く。,蹄,ひづめ,,訓読み
180,A,a読み,④,x,18,会議の内容を悉に記録する。,悉,つぶさ,,訓読み
181,A,a読み,④,,19,永年の功労を讃えて表彰する。,讃,たた,える,訓読み
182,A,a読み,④,x,20,細い岨道を通って山を越える。,岨道,そばみち,,訓読み
183,A,a読み,④,,21,六十匁が一両にあたる。,匁,もんめ,,訓読み
184,A,a読み,④,x,22,他人の欠点をあからさまに尤める。,尤,とが,める,訓読み
185,A,a読み,④,,23,よく水が捌ける土壌にする。,捌,は,ける,訓読み
186,A,a読み,④,,24,上官の命令に叛いて行動する。,叛,そむ,く,訓読み
187,A,a読み,④,x,25,人柄が表れた暢達な筆跡だ。,暢達,ちょうたつ,,音読み
188,A,a読み,④,,26,杏林とは医者の美称だ。,杏林,きょうりん,,音読み
189,A,a読み,④,,27,内紛に乗じて隣国を併吞する。,併吞,へいどん,,音読み
190,A,a読み,④,,28,資金不足で計画は頓挫した。,頓挫,とんざ,,音読み
191,A,a読み,④,x,29,些事にこだわると大局を見失う。,些事,さじ,,音読み
192,A,a読み,④,x,30,昔、高官は卿相と呼ばれていた。,卿相,けいしょう,,音読み
193,A,a読み,④,x,31,ヨーロッパの古き都邑を訪ねる。,都邑,とゆう,,音読み
194,A,a読み,④,x,32,純文学について喋喋と論じた。,喋喋,ちょうちょう,,音読み
195,A,a読み,④,x,33,鉄桶の防備でつけいるすきがない。,鉄桶,てっとう,,音読み
196,A,a読み,④,,34,積年の仇怨を晴らす時が来た。,仇怨,きゅうえん,,音読み
197,A,a読み,④,,35,鬱散に酒でも飲まないか。,鬱散,うっさん,,音読み
198,A,a読み,④,x,36,王より優渥なる処遇を受ける。,優渥,ゆうあく,,音読み
199,A,a読み,④,x,37,幼少の頃より穎脱した神童だった。,穎脱,えいだつ,,音読み
200,A,a読み,④,,38,政党の領袖となる。,領袖,りょうしゅう,,音読み
201,A,a読み,④,,39,優勝者に賞牌を授与する。,賞牌,しょうはい,,音読み
202,A,a読み,④,,40,血縁や地縁は社会の紐帯である。,紐帯,ちゅうたい,,音読み
203,A,a読み,④,,41,古代の漢籍に倭訓を付ける。,倭訓,わくん,,音読み
204,A,a読み,④,,42,珍しい世界の切手を蒐集する。,蒐集,しゅうしゅう,,音読み
205,A,a読み,④,,43,雪の中を蓑笠の翁が歩いていく。,蓑笠,さりゅう,,音読み
206,A,a読み,④,x,44,功名を立てて桑梓の地に帰る。,桑梓,そうし,,音読み
207,A,a読み,④,x,45,肴核既に尽きて杯盤狼ぜきたり。,肴核,こうかく,,音読み
208,A,a読み,④,,46,天皇の輔弼として政治を助ける。,輔弼,ほひつ,,音読み
209,A,a読み,④,,47,綱紀の匡正を行う。,匡正,きょうせい,,音読み
210,A,a読み,④,x,48,遠方で暮らす姪孫に文を送る。,姪孫,てっそん,,音読み
211,A,a読み,④,,49,弓箭の出を鼻にかける。,弓箭,きゅうせん,,音読み
212,A,a読み,④,x,50,頁岩は泥土が積み重なってできた。,頁岩,けつがん,,音読み
213,A,a読み,④,x,51,鶴九皐に鳴き、声、天に聞こゆ。,九皐,きゅうこう,,音読み
214,A,a読み,④,x,52,萱堂には大変お世話になりました。,萱堂,けんどう,,音読み
215,A,a読み,④,x,53,岡阜に登って町を眺める。,岡阜,こうふ,,音読み
216,A,a読み,④,,54,ショックで瞳孔が開いた。,瞳孔,どうこう,,音読み
217,A,a読み,⑤,x,1,灸の治療を施して腰痛を和らげる。,灸,やいと,,訓読み
218,A,a読み,⑤,,2,殆うく大事故になるところだった。,殆,あや,うく,訓読み
219,A,a読み,⑤,,3,酷い言葉に苛まれた。,苛,さいな,まれた,訓読み
220,A,a読み,⑤,,4,君子の政務を傍で丞ける。,丞,たす,ける,訓読み
221,A,a読み,⑤,x,5,現在の技術では奈ともしがたい。,奈,いかん,,訓読み
222,A,a読み,⑤,x,6,郁しい花の香りを胸いっぱい吸い込む。,郁,かぐわ,しい,訓読み
223,A,a読み,⑤,,7,竈で煮炊きをする。,竈,かまど,,訓読み
224,A,a読み,⑤,x,8,その昔、この辺りは廓だった。,廓,くるわ,,訓読み
225,A,a読み,⑤,x,9,一疋の絹布で羽織をあつらえる。,疋,ぴき,,訓読み
226,A,a読み,⑤,,10,三たび思いて而る後行う。,而,しか,る,訓読み
227,A,a読み,⑤,x,11,樵として山の中で生活する。,樵,きこり,,訓読み
228,A,a読み,⑤,,12,母の悲しそうな姿が心を掠めた。,掠,かす,めた,訓読み
229,A,a読み,⑤,x,13,雨に託けて練習をサボる。,託,かこつ,ける,訓読み
230,A,a読み,⑤,,14,川の俣にゴミがたまっている。,俣,また,,訓読み
231,A,a読み,⑤,,15,瑞瑞しい歌声が心にとまる。,瑞瑞,みずみず,しい,訓読み
232,A,a読み,⑤,x,16,椴松の製材を床板に用いる。,椴松,とどまつ,,訓読み
233,A,a読み,⑤,,17,二頭が轡を並べてゴールした。,轡,くつわ,,訓読み
234,A,a読み,⑤,x,18,笑いながら欠点を論う。,論,あげつら,う,訓読み
235,A,a読み,⑤,x,19,少女を拐して連れ回す。,拐,かどわか,す,訓読み
236,A,a読み,⑤,x,20,遜った態度に好感をおぼえる。,遜,へりくだ,る,訓読み
237,A,a読み,⑤,x,21,堆く積み上げられた本の山に驚く。,堆,うずたか,い,訓読み
238,A,a読み,⑤,x,22,家の建築に栂の木を使う。,栂,とが,,訓読み
239,A,a読み,⑤,x,23,魁として盗賊団を統轄する。,魁,かしら,,訓読み
240,A,a読み,⑤,x,24,落ち葉が川面を韓紅に染める。,韓紅,からくれない,,訓読み
241,A,a読み,⑤,x,25,稲の禾穂を調べる。,禾穂,かすい,,音読み
242,A,a読み,⑤,x,26,初対面で照れくさそうに掻頭する。,掻頭,そうとう,,音読み
243,A,a読み,⑤,,27,赫灼たる太陽の光を浴びる。,赫灼,かくしゃく,,音読み
244,A,a読み,⑤,x,28,茅屋に招いて酒を酌み交わす。,茅屋,ぼうおく,,音読み
245,A,a読み,⑤,x,29,万死を矛戟の下に免るることを得たり。,矛戟,ぼうげき,,音読み
246,A,a読み,⑤,x,30,終日盤桓して名刹の風景を楽しむ。,盤桓,ばんかん,,音読み
247,A,a読み,⑤,x,31,人民が徳治の馨香をたたえる。,馨香,けいこう,,音読み
248,A,a読み,⑤,x,32,日本の古い世諺を調べる。,世諺,せいげん,,音読み
249,A,a読み,⑤,,33,瑠璃色に光る宝石に魅せられる。,瑠璃,るり,,音読み
250,A,a読み,⑤,x,34,伝統的な捺染の技術を伝承する。,捺染,なっせん,,音読み
251,A,a読み,⑤,,35,曽遊の地を再び訪ねる。,曽遊,そうゆう,,音読み
252,A,a読み,⑤,x,36,芝蘭の室に入るが如し。,芝蘭,しらん,,音読み
253,A,a読み,⑤,x,37,衣桁に着物が掛けてある。,衣桁,いこう,,音読み
254,A,a読み,⑤,x,38,彼女の母は豊頬の美人だ。,豊頬,ほうきょう,,音読み
255,A,a読み,⑤,x,39,古代中国の揖譲の礼を学ぶ。,揖譲,ゆうじょう,,音読み
256,A,a読み,⑤,,40,この物語の主人公は妖姫だ。,妖姫,ようき,,音読み
257,A,a読み,⑤,x,41,両者の立場を秤量する。,秤量,しょうりょう,,音読み
258,A,a読み,⑤,x,42,昔話を集輯する。,集輯,しゅうしゅう,,音読み
259,A,a読み,⑤,,43,無知蒙昧の輩ほど楽観している。,蒙昧,もうまい,,音読み
260,A,a読み,⑤,x,44,海軍で烹炊班に所属していた。,烹炊,ほうすい,,音読み
261,A,a読み,⑤,,45,シャツの破れを補綴する。,補綴,ほてい,,音読み
262,A,a読み,⑤,x,46,イソギンチャクは腔腸動物。,腔腸,こうちょう,,音読み
263,A,a読み,⑤,x,47,恩師の斌斌たる人柄が偲ばれる。,斌斌,ひんぴん,,音読み
264,A,a読み,⑤,x,48,鰐魚を海の神とする説話がある。,鰐魚,がくぎょ,,音読み
265,A,a読み,⑤,x,49,ご諒恕のほどお願い申し上げます。,諒恕,りょうじょ,,音読み
266,A,a読み,⑤,x,50,竪子与に謀るに足らず。,竪子,じゅし,,音読み
267,A,a読み,⑤,x,51,吾に大樹有り、人之を樗と謂う。,樗,ちょ,,音読み
268,A,a読み,⑤,x,52,象著と玉杯を贈られた。,象著,ぞうちょ,,音読み
269,A,a読み,⑤,x,53,畢生の大作を書き上げた。,畢生,ひっせい,,音読み
270,A,a読み,⑤,x,54,先祖の霊をまつる霊廟がある。,霊廟,れいびょう,,音読み
271,A,a読み,⑥,,1,塙に展望所と遊歩道を整備する。,塙,はなわ,,訓読み
272,A,a読み,⑥,,2,足に負った傷を庇う。,庇,かば,う,訓読み
273,A,a読み,⑥,x,3,鉦や太鼓を叩いて収穫を祝う。,鉦,かね,,訓読み
274,A,a読み,⑥,x,4,船頭の見事な歌声に舷をたたく。,舷,ふなばた,,訓読み
275,A,a読み,⑥,,5,納屋が風雨に曝されて朽ちる。,曝,さら,す,訓読み
276,A,a読み,⑥,,6,鴇は特別天然記念物だ。,鴇,とき,,訓読み
277,A,a読み,⑥,,7,勝利を知り乍ち明るくなった。,乍,たちま,ち,訓読み
278,A,a読み,⑥,x,8,岩山が壁のように岨っている。,岨,そばだ,つ,訓読み
279,A,a読み,⑥,,9,徒に時間ばかりが過ぎた。,徒,いたずら,,訓読み
280,A,a読み,⑥,x,10,勝って汚名を雪ぐ。,雪,すす,ぐ,訓読み
281,A,a読み,⑥,x,11,野蒜は味噌で食べるのが一番だ。,野蒜,のびる,,訓読み
282,A,a読み,⑥,x,12,着物の裳裾をからげる。,裳裾,もすそ,,訓読み
283,A,a読み,⑥,x,13,先取点に弥が上にも興奮する。,弥,いや,,訓読み
284,A,a読み,⑥,x,14,戦争中の壕の跡を埋める。,壕,ほり,,訓読み
285,A,a読み,⑥,x,15,諒に申し訳ない。,諒,まこと,,訓読み
286,A,a読み,⑥,x,16,遠来の客を夷顔で饗応した。,夷顔,えびすがお,,訓読み
287,A,a読み,⑥,x,17,過ちを文る。,文,かざ,る,訓読み
288,A,a読み,⑥,x,18,物差しの度を読んで記録する。,度,めもり,,訓読み
289,A,a読み,⑥,x,19,稿を清書する。,稿,したがき,,訓読み
290,A,a読み,⑥,x,20,冬の晴れた空に奴凧を高く揚げる。,奴凧,やっこだこ,,訓読み
291,A,a読み,⑥,,21,日よけに簾をおろす。,簾,すだれ,,訓読み
292,A,a読み,⑥,x,22,丑と寅との中間の方角を艮という。,艮,うしとら,,訓読み
293,A,a読み,⑥,,23,木の皮などを原料にして紙を漉く。,漉,す,く,訓読み
294,A,a読み,⑥,x,24,造幣局では紙幣を摺っている。,摺,す,る,訓読み
295,A,a読み,⑥,,25,知人の鶯遷をお祝いした。,鶯遷,おうせん,,音読み
296,A,a読み,⑥,x,26,四方に城砦を築く。,城砦,じょうさい,,音読み
297,A,a読み,⑥,x,27,庚申信仰は道教に由来する。,庚申,こうしん,,音読み
298,A,a読み,⑥,,28,時間を忘れて推理小説を耽読した。,耽読,たんどく,,音読み
299,A,a読み,⑥,x,29,表面に粟粒大の汚れが付着する。,粟粒,ぞくりゅう,,音読み
300,A,a読み,⑥,,30,杜漏な計画はすぐに破綻する。,杜漏,ずろう,,音読み
301,A,a読み,⑥,x,31,香木の質の良いものを伽羅と呼ぶ。,伽羅,きゃら,,音読み
302,A,a読み,⑥,x,32,人の云為をいちいちあげつらう。,云為,うんい,,音読み
303,A,a読み,⑥,x,33,苦しい事情をご憐察下さい。,憐察,れんさつ,,音読み
304,A,a読み,⑥,x,34,䇮苒として日を送る。,䇮苒,じんぜん,,音読み
305,A,a読み,⑥,x,35,柴扉に暮らしております。,柴扉,さいひ,,音読み
306,A,a読み,⑥,x,36,屑屑として仕事に励む。,屑屑,せつせつ,,音読み
307,A,a読み,⑥,x,37,家族で祖母の椿寿を祝った。,椿寿,ちんじゅ,,音読み
308,A,a読み,⑥,x,38,厩肥を使って作物を育てる。,厩肥,きゅうひ,,音読み
309,A,a読み,⑥,,39,嫉妬は愛情の裏返しだ。,嫉妬,しっと,,音読み
