問題上,問題中,問題下,漢字,識別番号1,識別番号2,識別番号3
天地は万物の,ゲキリョ,、光陰は百代の過客。,逆旅,2690,,
恩を,アダ,で返す。,仇,2735,,
河豚好きで,キュウ,嫌い。,灸,1170,,
,キュウ,すれば通ず。,窮,3633,,
,キュウソ,猫を嚙む。,窮鼠,2656,,
禍福は,アザナ,える縄の如し。,糾,2662,,
,ギュウテイ,の魚。,牛蹄,2736,,
,コケ,の後思案。,虚仮,1308,,
幽谷より出でて,キョウボク,に遷る。,喬木,1160,,
,キョウボク,は風に折らる。,喬木,1357,,
大勇は,キョウ,なるが如く大智は愚なるが如し。,怯,1187,,
,タ,める若木のうち。,矯,1205,,
角を,タ,めて牛を殺す。,矯,1288,,
,キョウキン,を開く。,胸襟,1320,,
,ソバ,の花も一盛り。,蕎麦,1200,,
作り物で早いは,ソバ,と足半。,蕎麦,1272,,
,キョウゲン,は徳の賊。,郷原,2702,,
人は,ギョウシュン,にあらず、何ぞ事々によく善を尽くさん。,尭舜,1427,,
,ニシキ,を衣て昼行く。,錦,2720,,
,キンジョウ,に花を添う。,錦上,1331,,
人古今に通ぜざるは馬牛にして,キンキョ,す。,襟裾,3725,,
遠慮なければ,キンユウ,あり。,近憂,2641,,
煎餅に,カナヅチ,。,金槌,2620,,
どじょう汁に,キンツバ,。,金鍔,1290,1394,
,キンパク,が剝げる。,金箔,3735,,
,キンラン,の契り。,金蘭,3661,,
ひょうたんから,コマ,が出る。,駒,2699,,
年寄りの,グチ,。,愚痴,2743,,
,アキダル,は音が高い。,空樽,3640,,
,クツワ,を急にしてしばしば策うつ者は千里の御に非ず。,轡,1157,,
武士の子は,クツワ,の音で目を覚ます。,轡,1299,,
人跡繁ければ山も,クボ,む。,窪,3670,,
欲の,クマタカ,股裂くる。,熊鷹,2708,,
火中の,クリ,を拾う。,栗,2646,,
,ケサ,と衣は心に着よ。,袈裟,1199,,
布施ない経に,ケサ,を落とす。,袈裟,1227,,
しくじるは,ケイコ,のため。,稽古,3717,,
文章は,ケイコク,の大業、不朽の盛事。,経国,2700,,
,ケイセツ,の功を積む。,蛍雪,3685,,
,ケイグン,の一鶴。,鶏群,1307,,
白駒の,ゲキ,を過ぐるが若し。,隙,1313,,
寒さ小便ひだるさ,アクビ,。,欠,1306,,
,アクビ,を一緒にすれば三日従兄弟。,欠,1373,,
子供の,ケンカ,に親が出る。,喧嘩,1260,,
霜を履んで,ケンピョウ,至る。,堅氷,1353,,
笑顔に当てる,コブシ,は無い。,拳,1189,,
,コブシ,の雨を降らす。,拳,1383,,
,カタズ,を吞む。,固唾,3653,,
,コショウ,鳴らし難し。,孤掌,1302,,
,コリ,の精、尾を露す。,狐狸,2601,,
,ココウ,を凌ぐ。,糊口,3728,,
,コチョウ,の夢の百年目。,胡蝶,2599,,
越鳥南枝に巣くい、,コバ,北風にいななく。,胡馬,1330,,
,コヒョウ,は其の爪を外にせず。,虎豹,1278,,
敷居を,マタ,げば七人の敵あり。,跨,1328,,
,ミス,を隔てて高座を覗く。,御簾,1402,,
昨日の大尽今日の,コジキ,。,乞食,3727,,
及ばぬ,コイ,の滝登り。,鯉,2701,,
蟹の甲より年の,コウ,。,功,3716,,
,コウフン,花を生ず。,口吻,2597,,
,ノドモト,過ぎれば熱さを忘れる。,喉元,2758,,
爪の,アカ,を煎じて飲む。,垢,3677,,
,コウジ,魔多し。,好事,1238,,
家貧しくて,コウシ,顕れ、世乱れて忠臣を識る。,孝子,2642,,
六親和せずして,コウジ,有り。,孝慈,1184,,
,コウサ,は拙誠に如かず。,巧詐,1282,3995,
出る,クイ,は打たれる。,杭,3641,,
,コウゼン,の気を養う。,浩然,1413,,
,ヌカ,に釘。,糠,2648,,
,ヌカ,に釘。,糠,2679,,
朝に,コウガン,ありて夕べに白骨となる。,紅顔,2686,,
理屈と,コウヤク,はどこへでもつく。,膏薬,1196,,
内の病は,コウヤク,で治らぬ。,膏薬,1384,,
,コウジ,の下必ず死魚あり。,香餌,1237,,
,コウコク,一挙千里、恃む所は六翮のみ。,鴻鵠,1204,,
燕雀安んぞ,コウコク,の志を知らんや。,鴻鵠,1280,,
,コウモウ,を以て炉炭の上に燎く。,鴻毛,1230,,
挙ぐること,コウモウ,の如く、取ること拾遺の如し。,鴻毛,1305,,
柔能く,ゴウ,を制す。,剛,3722,,
味噌,コ,しで水を掬う。,漉,1169,4126,
,ホ,れて通えば千里も一里。,惚,2596,,
,コウヤ,の白袴。,紺屋,2598,,
地獄の,サタ,も金次第。,沙汰,1279,,
無,サタ,は無事の便り。,沙汰,1347,,
人間万事,サイオウ,が馬。,塞翁,1161,3987,
,サイシン,の憂いあり。,采薪,2602,,
猩猩は血を惜しむ、,サイ,は角を惜しむ、日本の武士は名を惜しむ。,犀,1289,,
大行は,サイキン,を顧みず大礼は小譲を辞せず。,細謹,1368,,
,サギ,を烏。,鷺,3684,,
義理の,シガラミ,。,柵,2728,,
旅の犬が尾を,スボ,める。,窄,1202,,
医者の薬も,サジ,加減。,匙,3676,,
袴の襠に,ザコ,溜まる。,雑魚,2724,,
,サバ,を読む。,鯖,2634,,
身から出た,サビ,。,錆,1434,2611,
七皿食うて,サメクサ,い。,鮫臭,2669,,
,ワサビ,と浄瑠璃は泣いて賞める。,山葵,1323,4127,
,ワサビ,が利く。,山葵,1404,,
,ソロバン,で錠が開く。,算盤,2715,,
負け相撲の痩せ,シコ,。,四股,2707,,
馬革に,シカバネ,をつつむ。,屍,1177,,
,シシ,に鞭うつ。,死屍,1167,,
,シシ,に鰭。,獅子,1234,4128,
,シシ,奮迅の勢い。,獅子,1312,,
洛陽の,シカ,を高める。,紙価,2653,,
眼光,シハイ,に徹す。,紙背,2659,,
,シセイ,天に通ず。,至誠,2731,,
口中の,シオウ,。,雌黄,1395,,
,ジジョ,の交わりを結ぶ。,爾汝,1352,,
,マ,かぬ種は生えぬ。,蒔,3696,,
湯の,ジギ,は水になる。,辞儀,2693,,
無くて,ナナクセ,。,七癖,3636,,
,ウルシ,は剝げても生地は剝げぬ。,漆,3706,,
,シックイ,の上塗りに借金の目塗り。,漆喰,1246,,
腹心の,ヤマイ,。,疾,2733,,
,シノ,を突く。,篠,1317,,
,シノ,を乱す雨。,篠,2650,,
,シラン,の室に入るが如し。,芝蘭,1367,,
蟷螂ひじを怒らして,シャテツ,に当たる。,車轍,1217,,
鬼神は,ヨコシマ,無し。,邪,3672,,
,セキヘキ,宝に非ず、寸陰是競う。,尺璧,2721,,
大は小を兼ねるも,シャクシ,は耳掻きにならぬ。,杓子,1267,,
重箱の隅を,シャクシ,で払え。,杓子,1340,,
至貴は,シャク,を待たず。,爵,1190,,
世渡りの殺生は,シャカ,も許す。,釈迦,2655,,
創業は易く,シュセイ,は難し。,守成,2680,,
手練,テクダ,。,手管,1194,,
嘘もまことも話の,テクダ,。,手管,1346,,
出物,ハ,れ物所嫌わず。,腫,1211,,
破れ物と,ハ,れ物に用心せよ。,腫,1436,,
人を,ノロ,わば穴二つ。,呪,3662,,
,シュウビ,を聞く。,愁眉,1387,,
紅旗征,ジュウ,、吾が事に非ず。,戎,2665,,
,ジュウバ,を殺して狐狸を求む。,戎馬,2607,,
青がきが,ジュクシ,弔う。,熟柿,3739,,
,シュツラン,の誉れ。,出藍,1281,1433,
,スルガ,の富士と一里塚。,駿河,3647,,
,シュンメ,痴漢を乗せて走る。,駿馬,2608,,
,ショウ,を以て石を量る。,升,3651,,
用のない星は,ヨイ,からござる。,宵,3708,,
青麦に,コウ,れ稲。,小熟,1183,,
,タナゴコロ,に運らす。,掌,3639,,
匂い,マツタケ,味しめじ。,松茸,3686,,
,ショウハク,の志。,松柏,2749,,
,エツボ,に入る。,笑壺,2711,,
桜三月,ショウブ,は五月。,菖蒲,1339,,
十日の菊、六日の,ショウブ,。,菖蒲,1392,,
,カネ,や太鼓で探す。,鉦,1285,,
元の,サヤ,に収まる。,鞘,1231,,
剃刀に,サヤ,なし。,鞘,1294,,
弓は袋に太刀は,サヤ,。,鞘,4129,,
心に,ジョウ,を下ろす。,錠,3692,,
頭隠して,シリ,隠さず。,尻,3656,,
,シンエン,に臨んで薄氷をふむが如し。,深淵,1335,,
,コブシ,の花の盛りが苗代の盛り。,辛夷,1379,,
大道廃れて,ジンギ,有り。,仁義,2681,,
生は,ジンコウ,なり、死生は昼夜たり。,塵垢,1311,,
座敷の,チリトリ,団扇で済ます。,塵取,1219,,
三軍も,スイ,を奪うべきなり、匹夫も志を奪うべからざるなり。,帥,2742,,
嚢中の,キリ,。,錐,2706,,
,スイトウ,を以て太山を堕つ。,錐刀,1248,,
門前,ジャクラ,を張る。,雀羅,1239,3988,
尺璧を貴ばずして,スンイン,を重んず。,寸陰,1428,,
大魚は小池に,ス,まず。,棲,2757,,
,セイコク,を射る。,正鵠,1173,,
,セイコク,を失わず。,正鵠,1329,,
文章は経国の大業にして不朽の,セイジ,なり。,盛事,2760,,
,セイトク,の士は乱世に疎んぜらる。,盛徳,1354,,
人間到る処,セイザン,有り。,青山,3744,,
修身,セイカ,治国平天下。,斉家,2671,,
,セキヒン,洗うが如し。,赤貧,1391,,
晩学といえども,セキガク,に昇る。,碩学,1301,,
巧詐は,セッセイ,に如かず。,拙誠,2663,,
足袋は姉を履け、,セッタ,は妹を履け。,雪駄,2745,,
,センベン,を著ける。,先鞭,1407,,
愚者も,センリョ,に一得有り。,千慮,2732,,
,センダン,は双葉より芳し。,栴檀,1264,3989,
,センダン,の林に入る者は染めざるに衣自ら芳し。,栴檀,1398,,
爪の垢を,セン,じて飲む。,煎,2688,,
渇して井を,ウガ,つ。,穿,1245,,
雨垂れ石を,ウガ,つ。,穿,1355,,
淵に臨みて魚を,ウラヤ,むは退いて網を結ぶに如かず。,羨,1206,,
天地,ゼンコウ,無し。,全功,3743,,
一斑を見て,ゼンピョウ,を卜す。,全豹,2691,,
塗箸で,ソウメン,食う。,素麺,1228,1365,
万緑,ソウチュウ,紅一点。,叢中,1396,,
昔は,ヤリ,が迎えに来た。,槍,1314,,
鰻は夏,ヤ,せの薬。,痩,3669,,
,ソウコウ,の妻は堂より下さず。,糟糠,1195,,
,ソウコウ,にだに飽かざる者は梁肉を務めず。,糟糠,1213,,
飢えたる者は,ソウコウ,を甘んず。,糟糠,3994,,
骨折り損の,クタビ,れ儲け。,草臥,1232,,
飛鳥尽きて良弓蔵れ、狡兎死して,ソウク,烹らる。,走狗,1220,,
直きを友とし諒を友とし,タブン,を友とするは益なり。,多聞,1385,,
天を仰いで,ツバキ,す。,唾,1216,4130,
不倶,タイテン,の敵。,戴天,3702,,
転がる石には,コケ,は生えぬ。,苔,2726,,
,タイカン,は忠に似たり。,大姦,2612,,
,タカジョウ,の子は鳩を馴らす。,鷹匠,2613,,
鳥窮すれば則ち,ツイバ,む。,啄,1192,,
,タクアン,のおもしに茶袋。,沢庵,3734,,
,タク,は声を以て自らやぶる。,鐸,2753,,
麦藁,タコ,に祭りはも。,蛸,1209,,
,タコ,は身を食う。,蛸,1233,,
,タタ,くに小を以てすれば、則ち小鳴す。,叩,1266,1332,
,ジュシ,をして名を成さしむ。,竪子,3698,,
金があれば馬鹿も,ダンナ,になる。,旦那,2716,,
,タドン,に目鼻。,炭団,3710,,
賭博に,フケ,るーこれは破滅への門である。,耽,1185,1253,
下手な,カジ,屋も一度は名剣。,鍛冶,2644,,
,ドングリ,の背比べ。,団栗,3668,,
,ノレン,に腕押し。,暖簾,1163,,
腹の皮が張れば目の皮が,タル,む。,弛,1284,,
,チ,に働けば角が立つ。,智,3737,,
未だ覚めず,チトウ,春草の夢、階前の梧葉已に秋声。,池塘,1270,,
,クモ,の子を散らす。,蜘蛛,1341,,
車を借る者は之を,ハ,せ、衣を借る者は之を被る。,馳,1356,,
,チャガラ,も肥になる。,茶殻,1273,,
難に臨んで、にわかに兵を,イ,る。,鋳,1422,,
餓鬼に,オガラ,。,苧殻,3695,,
,シャベ,る者は半人足。,喋,2606,,
,チョウアイ,昂じて尼になす。,寵愛,1401,,
佳景に,チョウジョク,皆忘る。,寵辱,1316,,
,チョウベン,馬腹に及ばず。,長鞭,1411,,
,チョウモン,の一針。,頂門,2614,,
,チョッカン,は一番槍より難し。,直諫,2616,,
昨日の錦、今日の,ツヅ,れ。,綴,2717,,
匕首に,ツバ,を打ったよう。,鍔,1334,,
膿んだら,ツブ,せ。,潰,1274,,
虎の能く狗を服する所以のものは,ソウガ,なり。,爪牙,1319,,
秋の日は,ツルベ,落とし。,釣瓶,3691,,
雀の千声,ツル,の一声。,鶴,1212,,
傘と,チョウチン,は戻らぬつもりで貸せ。,提灯,2666,,
糠に,クギ,。,釘,2664,,
,カナエ,を列ねて食す。,鼎,1375,,
,カナエ,の軽重を問う。,鼎,1420,,
海中より盃中に,デキシ,する者多し。,溺死,2649,,
,テップ,の急を告げる。,轍鮒,1275,3993,
,テンキ,洩漏すべからず。,天機,2618,,
両,テンビン,をかける。,天秤,2712,,
,マト,まる家には金もたまる。,纏,1262,,
,ウサギ,を見て犬を呼ぶ。,兎,3741,,
一敗地に,マミ,れる。,塗,1377,,
,トタン,の苦しみ。,塗炭,1366,,
尾を,トチュウ,に曳く。,塗中,1338,,
,メッキ,が剝げる。,鍍金,3658,,
鯖に腐らせんより,ト,で減らせ。,砥,1226,,
,トウリ,もの言わざれども下自ら蹊を成す。,桃李,1389,,
松は双葉より,トウリョウ,の思いあり。,棟梁,3732,,
渇しても,トウセン,の水を飲まず。,盗泉,2654,,
,アバタ,もえくぼ。,痘痕,1176,,
,ズキン,と見せて頬かぶり。,頭巾,2609,,
冠履を貴んで,トウソク,を忘る。,頭足,1348,,
鐘も,シュモク,の当たりがら。,撞木,2672,,
,ホラ,ヶ峠を決め込む。,洞,1435,,
,エテ,に帆をあげ。,得手,3649,,
,ウド,の大木。,独活,1263,,
朝,トビ,に蓑を着よ、夕とびに笠を脱げ。,鳶,1182,,
付け焼き刃は,ナマ,り易い。,鈍,1321,1405,
知らぬ神より,ナジ,みの鬼。,馴染,3721,,
艱難,ナンジ,を玉にす。,汝,3740,,
,ニジュ,に冒される。,二竪,2651,,
枯れ木も山の,ニギ,わい。,賑,3715,,
,ヌ,れ手で粟。,濡,1218,,
狐その尾を,ヌ,らす。,濡,1296,,
鴨が,ネギ,を背負って来る。,葱,2722,,
,ノウチュウ,の物を探るが如し。,嚢中,1342,,
,ノウチュウ,の錐。,嚢中,1406,,
澹泊の士は必ず,ノウエン,の者の疑うところとなる。,濃艶,1257,,
,ノウジ,畢われり。,能事,2619,,
,ウミ,の出る目に気遣いなし。,膿,1224,,
針の穴から天を,ノゾ,く。,覗,3704,,
,ノミ,の頭を斧で割る。,蚤,1164,,
,ノミ,の眼に蚊のまつげ。,蚤,1327,,
,ハキョウ,再び照らさず。,破鏡,2621,,
身体は,バショウ,の如し、風に従って敗れ易し。,芭蕉,1403,,
新宅三年,スス,取らず。,煤,1180,,
,スス,掃きの米びつ。,煤,1251,,
,ハ,えば立て、立てば歩めの親心。,這,1408,,
唾で矢を,ハ,ぐ。,矧,1304,,
戦を見て矢を,ハ,ぐ。,矧,1380,,
千里の馬は常に有れども,ハクラク,は常には有らず。,伯楽,2714,,
,ハック,の隙を過ぐるが若し。,白駒,1414,,
紺屋の,シロバカマ,。,白袴,3683,,
,ハクトウ,新の如く、傾蓋故の如し。,白頭,2730,,
,バクギャク,の友。,莫逆,1291,1371,
,バクシュウ,の嘆。,麦秀,1165,,
,ハシ,にも棒にもかからぬ。,箸,2755,,
,ハッケ,の八つ当たり。,八卦,3712,,
,ハッサク,は麦まんじゅうの食い終い。,八朔,3642,,
身体,ハップ,之を父母に受く。,髪膚,2674,,
畑に,ハマグリ,。,蛤,3643,,
,ハンジョウ,を入れる。,半畳,3675,,
鳩に三枝の礼あり、烏に,ハンポ,の孝あり。,反哺,2723,,
,ボンノウ,の犬は追えども去らず。,煩悩,1247,,
,ヒゲ,も自慢のうち。,卑下,1359,,
,ヒサシ,を貸して母屋をとられる。,庇,3637,,
,ヒガ,の火に入るが如し。,飛蛾,3674,,
話に,オヒレ,を付ける。,尾鰭,1193,,
事が延びれば,オヒレ,が付く。,尾鰭,1374,,
,ミジン,積もりて山となる。,微塵,3644,,
,ビワ,を家の周りに植えるな。,枇杷,2625,,
気を吐き,マユ,揚ぐ。,眉,1258,,
児孫の為に,ビデン,を買わず。,美田,1378,,
酒は天の,ビロク,。,美禄,2670,,
,ヒイラギ,の葉を門口にさせば鬼が来ぬ。,柊,2622,,
,ヒップ,も志を奪うべからず。,匹夫,2638,,
,ヒシヅル,ほど子ができる。,菱蔓,1318,,
,ヒジ,を曲げてこれを枕とす。,肘,2615,,
一片の,ヒョウシン,玉壺に在り。,氷心,1416,,
,ヒョウタン,相容れず。,氷炭,1215,,
,ヒョウタン,から駒が出る。,瓢簞,1166,,
,ヒョウタン,に釣り鐘。,瓢簞,1287,,
君子は,ヒョウヘン,す。,豹変,2748,,
,ヒル,に塩。,蛭,3729,,
虎に翼、獅子に,ヒレ,。,鰭,1268,,
,ヒンセン,にして楽しみあり。,貧賤,3667,,
礼儀は,フソク,に生じ、盗窃は貧窮に起こる。,富足,2713,,
蟷螂の,オノ,。,斧,3680,,
,フヨウ,の顔、柳の眉。,芙蓉,1409,,
竜の髭を,ナ,で虎の尾を踏む。,撫,1188,,
群盲象を,ナ,づ。,撫,1388,,
前車の,フクテツ,を踏む。,覆轍,2594,,
飛鳥川の,フチセ,。,淵瀬,2738,,
薪は割って,タ,け、米はついて食え。,焚,1261,,
自慢の,クソ,は犬も食わぬ。,糞,2668,,
親の欲目と他人の,ヒガメ,。,僻目,1344,,
,ホシャ,相依る。,輔車,1382,,
外面似,ボサツ,、内心如夜叉。,菩薩,2652,,
信は,ボダイ,の源。,菩提,1315,,
煩悩も亦、是,ボダイ,なり。,菩提,2593,,
君子,ホウチュウ,に入るに忍びず。,庖厨,4131,,
下手の,ホウチョウ,百遍洗え。,庖丁,3664,,
,ホラ,と喇叭は大きく吹け。,法螺,1241,1286,
知者は未だ,キザ,さざるに見る。,萌,2684,,
麻の中の,ヨモギ,。,蓬,2605,,
命長ければ,ホウライ,を見る。,蓬萊,1419,4124,
,ホウオウ,群鶏と食を争わず。,鳳凰,2617,,
,ホクシン,其の所にて居て衆星之に共う。,北辰,1325,,
一斑を見て全豹を,ボク,す。,卜,1381,,
,ホンケ,還りの三つ子。,本卦,2703,,
,マクラ,を高くして眠る。,枕,3648,,
瓜の,ツル,には茄子はならぬ。,蔓,1297,,
手前,ミソ,を並べる。,味噌,1412,,
,キザン,の志。,箕山,2729,,
多忙な,ミツバチ,には悲しむ暇がない。,蜜蜂,3720,,
,ミノ,になり笠になる。,蓑,1174,,
,ミノ,を着て笠がない。,蓑,1432,,
,ミノカサ,を着て人の家に入らぬもの。,蓑笠,2629,,
,ムケイ,の言は聴くことなかれ。,無稽,3713,,
一人娘に,ムコ,八人。,婿,3711,,
門松は,メイド,の旅の一里塚。,冥土,1255,,
白髪は,メイド,の使い。,冥土,1390,,
,モウボ,三遷の教え。,孟母,3666,,
盗人,タケダケ,しい。,猛猛,2692,,
風が吹けば桶屋が,モウ,かる。,儲,1254,,
,モウ,けぬ前の胸算用。,儲,1269,,
焼け,ボックイ,に火がつく。,木杭,1399,,
新聞は社会の,ボクタク,。,木鐸,2604,,
,モッケ,の幸い。,勿怪,2630,,
画,ベイ,、飢えを充たさず。,餅,2647,,
慌てる乞食は,モラ,いが少ない。,貰,2739,,
外面似菩薩、内心如,ヤシャ,。,夜叉,2709,,
,ミダ,の光も金次第。,弥陀,1249,1372,
大きい,ヤカン,は沸きが遅い。,薬缶,3654,,
自家,ヤクロウ,中の物。,薬籠,3719,,
,リュウビ,を逆立てる。,柳眉,3652,,
盲亀の浮木、,ウドンゲ,の花。,優曇華,1397,,
,ユウメイ,境を異にする。,幽明,2635,,
人生字を識るは,ユウカン,の始め。,憂患,3650,,
,ウケ,に入る。,有卦,1236,,
裸で,ユズ,の木に登る。,柚,3718,,
積善の家には必ず,ヨケイ,あり。,余慶,2678,,
船に懲りて,コシ,を忌む。,輿,2632,,
武士は食わねど高,ヨウジ,。,楊枝,3682,,
,ヨウリュウ,の風に吹かるるが如し。,楊柳,1370,,
陰徳あれば,ヨウホウ,あり。,陽報,1376,,
人を犯す者は,ランボウ,の患いあり。,乱亡,2675,,
,アイ,より青し。,藍,3673,,
,ランデン,玉を生ず。,藍田,2636,,
,リカ,に冠を正さず。,李下,1225,,
,リカ,一枝、春、雨を帯ぶ。,梨花,2752,,
大声,リジ,に入らず。,里耳,3714,,
,リッスイ,の余地もない。,立錐,1276,,
,ムグラ,の雫、萩の下露。,葎,1386,,
掃き,タ,めに鶴。,溜,1208,,
,リュウイン,を下げる。,溜飲,2637,,
,リョウ,上の君子。,梁,2639,,
,リョウジョウ,の君子。,梁上,1186,,
,リョウジン,を動かす。,梁塵,3689,,
飛鳥尽きて,リョウキュウ,蔵る。,良弓,2696,,
,リョウキン,は木を択ぶ。,良禽,3687,,
目から,ウロコ,が落ちる。,鱗,2756,,
,ルリ,もはりも照らせば光る。,瑠璃,1337,,
,ルリ,もはりも照らせば光る。,瑠璃,3991,,
危うきこと,ルイラン,の如し。,累卵,2676,,
死児の,ヨワイ,を数える。,齢,3705,,
同病相,アワ,れむ。,憐,2759,,
香炉峰の雪は,スダレ,をかかげて看る。,簾,2683,,
泥中の,ハチス,。,蓮,2689,,
やはり野に置け,レンゲソウ,。,蓮華草,2741,,
