問題,解答,選択肢,識別番号1,識別番号2,識別番号3
無惨,酸鼻,さんび,1455,,
奈落,地獄,じごく,1546,,
営営,孜孜,しし,3785,,
無垢,至純,しじゅん,1524,,
巷間,市井,しせい,1595,,
排撃,指弾,しだん,1473,,
永訣,死別,しべつ,1551,,
勃発,惹起,じゃっき,1456,1624,4119
狼狽,周章,しゅうしょう,1599,,
畢生,終身,しゅうしん,1592,,
搾取,収奪,しゅうだつ,2850,,
元凶,首魁,しゅかい,2797,,
遁世,出家,しゅっけ,1519,3781,
分娩,出産,しゅっさん,3780,,
上梓,出版,しゅっぱん,1619,3984,
逐電,出奔,しゅっぽん,1448,2796,1544
顚末,首尾,しゅび,1500,,
苛烈,峻厳,しゅんげん,2847,,
落成,竣工,しゅんこう,3764,,
監視,哨戒,しょうかい,2798,,
払拭,消去,しょうきょ,1499,1600,
出版,上梓,じょうし,1619,3984,
吉兆,祥瑞,しょうずい,3757,,
荒廃,消長,しょうちょう,1573,,
浮沈,消長,しょうちょう,1628,,
結局,所詮,しょせん,1621,,
虚実,真贋,しんがん,2803,,
臥床,寝台,しんだい,3782,,
蒼生,人民,じんみん,3789,,
吉祥,瑞相,ずいそう,1576,,
動向,趨勢,すうせい,3758,3986,
粗雑,杜撰,ずさん,1545,,
雑駁,杜撰,ずさん,2819,,
核心,正鵠,せいこく,1569,,
可憐,清楚,せいそ,2825,,
泰斗,碩儒,せきじゅ,1579,,
懸崖,絶壁,ぜっぺき,1547,,
斡旋,世話,せわ,2844,,
遅滞,遷延,せんえん,3792,,
平癒,全快,ぜんかい,2826,,
抜擢,選出,せんしゅつ,1447,1616,
魔手,爪牙,そうが,2776,,
逢着,遭遇,そうぐう,1497,3756,
根城,巣窟,そうくつ,1527,,
学識,造詣,ぞうけい,2853,,
人民,蒼生,そうせい,3789,,
碧空,蒼天,そうてん,3763,,
逐鹿,争覇,そうは,1532,2774,
利発,聡明,そうめい,2778,,
頻発,続出,ぞくしゅつ,2854,,
軽率,粗忽,そこつ,1521,1615,
杜撰,粗雑,そざつ,1545,,
復活,蘇生,そせい,2805,3786,
億劫,大儀,たいぎ,1501,1594,
遁走,退却,たいきゃく,1496,,
倦怠,退屈,たいくつ,1617,,
妙趣,醍醐味,だいごみ,3761,,
逗留,滞在,たいざい,1620,3982,
碩儒,泰斗,たいと,1579,,
勃興,台頭,たいとう,2808,,
厨房,台所,だいどころ,1451,,
凌駕,卓越,たくえつ,1597,,
傑出,卓越,たくえつ,2771,,
穎脱,卓出,たくしゅつ,1528,,
妄語,戯言,たわごと,2780,2845,
朝暮,旦夕,たんせき,1454,3983,
陶冶,鍛錬,たんれん,1522,3985,
童心,稚気,ちき,1549,,
出奔,逐電,ちくでん,1448,2796,1544
争覇,逐鹿,ちくろく,1532,2774,
通暁,知悉,ちしつ,1452,,
遷延,遅滞,ちたい,3792,,
台所,厨房,ちゅうぼう,1451,,
花形,寵児,ちょうじ,1495,,
永眠,長逝,ちょうせい,1574,,
旦夕,朝暮,ちょうぼ,1454,3983,
沈滞,凋落,ちょうらく,2777,,
割烹,調理,ちょうり,1520,,
横行,跳梁,ちょうりょう,2851,,
没入,沈潜,ちんせん,4118,,
凋落,沈滞,ちんたい,2777,,
知悉,通暁,つうぎょう,1452,,
投錨,碇泊,ていはく,1622,4117,
落飾,剃髪,ていはつ,1484,,
斧正,添削,てんさく,1478,,
流布,伝播,でんぱ,1450,,
首尾,顚末,てんまつ,1500,,
経緯,顚末,てんまつ,3755,,
趨勢,動向,どうこう,3758,3986,
看破,洞察,どうさつ,1526,,
稚気,童心,どうしん,1549,,
矛盾,撞着,どうちゃく,3760,,
仰天,動顚,どうてん,1481,,
碇泊,投錨,とうびょう,1622,4117,
鍛錬,陶冶,とうや,1522,3985,
放蕩,道楽,どうらく,1503,,
滞在,逗留,とうりゅう,1620,3982,
忽然,突如,とつじょ,1568,,
俄然,突然,とつぜん,2779,,
奇矯,突飛,とっぴ,3787,,
激浪,怒涛,どとう,1580,,
急逝,頓死,とんし,3759,,
出家,遁世,とんせい,1519,3781,
退却,遁走,とんそう,1496,,
地獄,奈落,ならく,1546,,
晦渋,難解,なんかい,2804,4121,
允許,認可,にんか,3783,,
巣窟,根城,ねじろ,1527,,
工面,捻出,ねんしゅつ,1543,,
指弾,排撃,はいげき,1473,,
零落,敗残,はいざん,2855,,
互角,伯仲,はくちゅう,1474,,
選出,抜擢,ばってき,1447,1616,
未曾有,破天荒,はてんこう,2775,,
寵児,花形,はながた,1495,,
隆昌,繁栄,はんえい,1548,,
抗論,反駁,はんばく,1618,,
苦悩,煩悶,はんもん,3784,,
洪水,氾濫,はんらん,1623,,
極意,秘訣,ひけつ,2772,,
要諦,秘訣,ひけつ,1625,,
匹敵,比肩,ひけん,1572,,
些細,微小,びしょう,1523,,
不可欠,必須,ひっす,1571,,
終身,畢生,ひっせい,1592,,
比肩,匹敵,ひってき,1572,,
窮乏,逼迫,ひっぱく,1471,,
隠蔽,秘匿,ひとく,2823,,
糊塗,弥縫,びほう,2773,,
巷説,評判,ひょうばん,1570,,
機敏,敏捷,びんしょう,2848,,
続出,頻発,ひんぱつ,2854,,
閉塞,封鎖,ふうさ,2799,,
必須,不可欠,ふかけつ,1571,,
股肱,腹心,ふくしん,1475,4120,3790
乱脈,蕪雑,ぶざつ,1531,,
苦慮,腐心,ふしん,1483,,
胡乱,不審,ふしん,1476,,
添削,斧正,ふせい,1478,,
稀有,不世出,ふせいしゅつ,1479,3779,
高慢,不遜,ふそん,1498,1596,
消長,浮沈,ふちん,1628,,
蘇生,復活,ふっかつ,2805,3786,
消去,払拭,ふっしょく,1499,1600,
一掃,払拭,ふっしょく,1482,,
契合,吻合,ふんごう,2822,,
出産,分娩,ぶんべん,3780,,
封鎖,閉塞,へいそく,2799,,
全快,平癒,へいゆ,2826,,
蒼天,碧空,へきくう,3763,,
軽侮,蔑視,べっし,2852,,
一端,片鱗,へんりん,1449,,
還付,返戻,へんれい,1578,,
坐視,傍観,ぼうかん,2846,,
麒麟児,鳳雛,ほうすう,1593,,
遭遇,逢着,ほうちゃく,1497,3756,
道楽,放蕩,ほうとう,1503,,
台頭,勃興,ぼっこう,2808,,
沈潜,没入,ぼつにゅう,4118,,
惹起,勃発,ぼっぱつ,1456,1624,4119
未明,昧爽,まいそう,1591,,
爪牙,魔手,ましゅ,2776,,
流布,蔓延,まんえん,2801,,
空前,未曾有,みぞう,1627,,
破天荒,未曾有,みぞう,2775,,
昧爽,未明,みめい,1591,,
醍醐味,妙趣,みょうしゅ,3761,,
果報,冥利,みょうり,2827,,
至純,無垢,むく,1524,,
酸鼻,無惨,むざん,1455,,
撞着,矛盾,むじゅん,3760,,
牢記,銘記,めいき,1577,,
奇怪,面妖,めんよう,1552,,
戯言,妄語,もうご,2780,2845,
容赦,宥恕,ゆうじょ,2806,,
閑居,幽棲,ゆうせい,2795,,
欣喜,愉悦,ゆえつ,1525,,
宥恕,容赦,ようしゃ,2806,,
寛恕,容赦,ようしゃ,2849,,
秘訣,要諦,ようてい,1625,,
器量,容貌,ようぼう,1550,1598,
沿革,来歴,らいれき,1575,,
剃髪,落飾,らくしょく,1484,,
竣工,落成,らくせい,3764,,
蕪雑,乱脈,らんみゃく,1531,,
聡明,利発,りはつ,2778,,
繁栄,隆昌,りゅうしょう,1548,,
栄耀,隆昌,りゅうしょう,3791,,
卓越,凌駕,りょうが,1597,,
尾根,稜線,りょうせん,3788,,
蔓延,流布,るふ,2801,,
伝播,流布,るふ,1450,,
敗残,零落,れいらく,2855,,
銘記,牢記,ろうき,1577,,
周章,狼狽,ろうばい,1599,,
懐柔,籠絡,ろうらく,1626,2807,
