問題上,問題中,問題下,解答,識別番号
就職を,アッセン,してもらう。,斡旋,942
困難にも,ヒル,む様子を見せない。,怯,943
小鳥が草むらにいる虫を,ツイバ,む。,啄,944
画用紙に,ラセン,状の模様を描く。,螺旋,945
,メシベ,を人工的に受粉させる。,雌蕊,946
便利な都会生活に,アコガ,れる。,憧,947
美術品を厳重に,コンポウ,する。,梱包,948
日雇いの仕事で口を,ノリ,する。,糊,949
夕暮れ時に空が,アカネ,色に染まる。,茜,950
首位を争って三つ,トモエ,の戦いだ。,巴,951
,シラカバ,の林の中で森林浴をする。,白樺,952
,ヒンシ,の被害者を救出した。,瀕死,953
両者を,テンビン,にかける。,天秤,954
乳製品から,タンパク,質をとる。,蛋白,955
,カップク,の良い男が社長に就いた。,恰幅,956
誰の意見にも,アイヅチ,を打つ。,相槌,957
,ハニワ,を見て古代を思う。,埴輪,958
小さな出来事に,オヒレ,がついた。,尾鰭,959
役者が顔に,クマド,りを描く。,隈取,960
かつて,キリン,児と呼ばれていた。,麒麟,961
無事の知らせに,アンド,する。,安堵,962
,シシ,に鞭打つ所業に非難が集まる。,死屍,963
大観衆で,リッスイ,の余地もない。,立錐,964
何をするにも,オックウ,だ。,億劫,965
試合中に,ダッキュウ,していた。,脱臼,966
転んだだけで入院とは,オオゲサ,だ。,大袈裟,967
陰暦の四月を,ウ,月という。,卯,968
,ワキメ,と実情は違うものだ。,脇目,969
子を三人,モウ,けた。,儲,970
いたずらに歳月が,ツイ,える。,費,971
暴君が,エイヨウ,の限りを尽くす。,栄耀,972
粗酒粗,サン,をふるまう。,餐,973
酒や女遊びに,タンデキ,する。,耽溺,974
迷妄から,カクセイ,する。,覚醒,975
肝心なことになると,トボ,ける。,惚,976
あの会社は気息,エンエン,だ。,奄奄,977
想定外の難問に,ホウチャク,した。,逢着,978
運悪く山中で,ヒゾク,に遭う。,匪賊,979
,ヒゾク,な言動に非難が集まる。,卑俗,980
,ハツガン,性物質を研究する。,発癌,981
,カショク,の宴に招待される。,華燭,982
力の限り弓の,ツル,を引いた。,弦,983
鉄に,センコウ,機で穴をあける。,穿孔,984
,タンノウ,が炎症をおこし痛む。,胆嚢,985
,ハルバル,カナダからやってきた。,遥遥,986
竹でできた,サイバシ,を使っている。,菜箸,987
,ケンバン,楽器が得意だ。,鍵盤,988
大学で哲学の,キョウベン,を執る。,教鞭,989
薪を得るために裏山で木を,コ,る。,樵,990
,ボッコン,鮮やかに「新春」と書いた。,墨痕,991
,ヨロク,の多い仕事に恵まれる。,余禄,992
野生生物が絶滅の危機に,ヒン,する。,瀕,993
父の威光を,カサ,に着て威張る。,笠,994
,モロ,くも二回戦で敗れた。,脆,995
,タタ,けば埃の出る人物だ。,叩,996
,ボダイジュ,の下で雨宿りをする。,菩提樹,997
銀行からの借金を,カイサイ,する。,皆済,998
野菜が,トロ,けるまで煮込む。,蕩,999
年末は出費が,カサ,む。,嵩,1000
,キキョウ,な振る舞いに困惑する。,奇矯,1001
社会の秩序が,カクラン,される。,攪乱,1002
自由主義の,ホウガ,といえる政策だ。,萌芽,1003
どうぞご,レンサツ,ください。,憐察,1004
レバーと,ニラ,をいためる。,韮,1005
川の水を引いて,カンガイ,する。,灌漑,1006
難しい資格を取って,ハク,をつける。,箔,1007
,ソウテイ,場でボートの練習をする。,漕艇,1008
検査で胃に,ガンシュ,が見つかる。,癌腫,1009
田舎から,リンゴ,が届いた。,林檎,1010
覚える気もなく,サジ,を投げる。,匙,1011
テレビは社会の,ボクタク,だろうか。,木鐸,1012
山の,リョウセン,がはっきり見える。,稜線,1013
身を,テイ,してゴールを守る。,挺,1014
,コウシジマ,のシャツがよく似合う。,格子縞,1015
人を陥れる,ダキ,すべき男だ。,唾棄,1016
相手の作戦に,ホンロウ,される。,翻弄,1017
提案は,イッシュウ,された。,一蹴,1018
はがきを,トウカン,する。,投函,1019
,ネンザ,で大会出場を諦める。,捻挫,1020
,サワラビ,を取りにいく。,早蕨,1021
家のテーブルは,ダエン,形だ。,楕円,1022
名のある選手に,ゴ,して戦う。,伍,1023
日本酒より,ショウチュウ,が好きだ。,焼酎,1024
,ニジマス,の群れが渓流を泳ぐ。,虹鱒,1025
師匠と太い,チュウタイ,で結ばれる。,紐帯,1026
カメラにフィルムを,ソウテン,する。,装填,1027
失敗する,ハズ,がない。,筈,1028
夏でも,ショウニュウドウ,は涼しい。,鍾乳洞,1029
憎悪が事件を,ジャッキ,した。,惹起,1030
長雨で,ミズカサ,が増した。,水嵩,1031
改革派の急,センポウ,となる。,先鋒,1032
祖母は患部に,コウヤク,を貼った。,膏薬,1033
政治学を,センコウ,する。,専攻,1034
失政を,コト,するのに必死だ。,糊塗,1035
雄大な自然を,タンノウ,した。,堪能,1036
,キゼン,たる態度で事に臨む。,毅然,1037
強欲な創業者の,ソウク,となる。,走狗,1038
日頃の,ウップン,を全て吐き出す。,鬱憤,1039
,カイショウ,のない息子を不安がる。,甲斐性,1040
毎朝,カノウ,止めの薬を飲む。,化膿,1041
,フンソウ,が下手でばれてしまった。,扮装,1042
鶏肉を,クシ,に刺す。,串,1043
,シンガン,論争に終止符を打つ。,真贋,1044
草木を原料にして和紙を,ス,く。,漉,1045
反対運動の,キュウセンポウ,に立つ。,急先鋒,1046
全国を制し故郷に,ガイセン,した。,凱旋,1047
色鮮やかな,ヒゴイ,が池で泳ぐ。,緋鯉,1048
人生経験を重ね,ケイカク,が取れた。,圭角,1049
,ガン,の治療薬を開発する。,癌,1050
,ユウギ,に厚く部下に慕われる。,友誼,1051
親を,ナイガシ,ろにしてはいけない。,蔑,1052
費用が,カサ,んで予算枠を超えた。,嵩,1053
機密の,ロウエイ,を防ぐ。,漏洩,1054
,メシベ,を顕微鏡で観察する。,雌蕊,1055
,ワニ,革のハンドバッグを購入した。,鰐,1056
書斎は,ラセン,階段を上がった右側だ。,螺旋,1057
畑の草を,ナ,いだ。,薙,1058
商店街が往時の,ニギ,わいを取り戻す。,賑,1059
他人の過去を,センサク,する。,詮索,1060
相手の卑劣な行為を,バトウ,する。,罵倒,1061
学芸会で王様に,フン,する。,扮,1062
,シュコウ,を用意して来客を待つ。,酒肴,1063
宮中の,バンサン,会に臨席する。,晩餐,1064
二日酔いで顔色が,サ,えない。,冴,1065
,シャクネツ,の太陽に身を晒す。,灼熱,1066
策を,ロウ,して試合に勝った。,弄,1067
,ロレツ,が回らないほど酔っぱらった。,呂律,1068
,キリン,は想像上の動物だ。,麒麟,1069
ひとりで,キママ,な旅を続けた。,気儘,1070
ルイ十四世は,エイヨウ,を極めた。,栄耀,1071
西方から農業が,デンパ,した。,伝播,1072
不用意な一言が憎しみを,アオ,った。,煽,1073
お土産に,カマボコ,を頂く。,蒲鉾,1074
小屋の,ロウソク,に火を灯す。,蠟燭,1075
盛り塩を,ワシヅカ,みにして土俵にまく。,鷲摑,1076
急な,コウバイ,を利用して建てる。,勾配,1077
,スス,けた外壁を塗り替える。,煤,1078
勝利の,ガイカ,を揚げる。,凱歌,1079
,ヘラ,を使って漆を塗る。,箆,1080
,オウセイ,な好奇心が彼女の長所だ。,旺盛,1081
親を亡くした子どもを,ヒゴ,する。,庇護,1082
よき,ハンリョ,に恵まれる。,伴侶,1083
,カンキツ,系のコロンをつける。,柑橘,1084
多くの海賊が海の,モクズ,となった。,藻屑,1085
このくせ毛は,カクセイ,遺伝だ。,隔世,1086
母は,カケ,事がとても嫌いだ。,賭,1087
庭に草木が,ハビコ,る。,蔓,1088
勝利を,ショウチュウ,にする。,掌中,1089
大発見で一躍世界に名を,ハ,せる。,馳,1090
風呂を,タ,いたから入りなさい。,焚,1091
仕事と遊びを,シュンベツ,して働く。,峻別,1092
口封じに金の,クツワ,をはめる。,轡,1093
作家として時代の,チョウジ,となる。,寵児,1094
一個の,リザイ,は小さい。,利鞘,1095
公園の,ボダイ,樹の花が咲いた。,菩提,1096
,シッシン,ができて背中がかゆい。,湿疹,1097
ドアに合う,チョウツガイ,を探す。,蝶番,1098
,クラ,替え出馬を目論む。,鞍,1099
いい,カネヅル,が見つかった。,金蔓,1100
隣家で,シュコウ,をふるまわれた。,酒肴,1101
家の裏の,クボ,地に池ができた。,窪,1102
品物を,コンポウ,し荷台に積む。,梱包,1103
新薬の開発で他社を,リョウガ,した。,凌駕,1104
,ガン,治療の最先端を取材する。,癌,1105
手違いをお,ワ,びした。,詫,1106
両チームは,ツバ,迫り合い。,鍔,1107
経費が,カサ,み決算は赤字。,嵩,1108
昔、ガラスのことを,ルリ,と呼んだ。,瑠璃,1109
部下を,ナイガシ,ろにしてはいけない。,蔑,1110
水槽に海水を,タタ,える。,湛,1111
枯れ木も山の,ニギ,わい。,賑,1112
,ワニ,は熱帯の水辺に棲む動物だ。,鰐,1113
強豪を,ナ,ぎ倒して決勝戦に望んだ。,薙,1114
悪事が,ハビコ,る世の中だ。,蔓,1115
歌舞伎の,クマド,りに興味を持つ。,隈取,1116
寒さに肩を,スボ,めて歩く。,窄,1117
風で飛んだ花粉が,メシベ,についた。,雌蕊,1118
母は,ミケン,にほくろがある。,眉間,1119
このあたりは地盤が,モロ,い。,脆,1120
無事の知らせに,アンド,する。,安堵,1121
新町長が町史を,ヘンサン,した。,編纂,1122
,ササイ,な事を気にするな。,些細,1123
事の,テンマツ,を小説に描く。,顚末,1124
新しい思想は,デンパ,する。,伝播,1125
悪人に,テッツイ,を下す方法を考える。,鉄槌,1126
,ヒンシ,の重傷を負った。,瀕死,1127
,オダ,てられて笑みを浮かべる。,煽,1128
,ダイタイ,部の筋肉が痛む。,大腿,1129
,キママ,なひとり暮らしを楽しむ。,気儘,1130
,ロレツ,が回らないしゃべり方だ。,呂律,1131
お茶請けに,センベイ,を出した。,煎餅,1132
機密文書の,ロウエイ,が発覚した。,漏洩,1133
,フトウ,に大型貨物船が入ってきた。,埠頭,1134
兄は父に似て長身,ソウク,な体格だ。,痩軀,1135
島を結ぶ,キョウリョウ,を建設する。,橋梁,1136
,ウレ,しい便りが届いた。,嬉,1137
,セッケン,で体を洗う。,石鹼,1138
大関、横綱が,セイゾロ,いした。,勢揃,1139
役員の,イス,はあと二つとなった。,椅子,1140
,ウ,月鳥とはホトトギスの異称だ。,卯,1141
,ウルウ,年には夏季五輪がある。,閏,1142
茶請けに貝の,ツクダニ,を出す。,佃煮,1143
ブランコを思いっきり高く,コ,ぐ。,漕,1144
野球の,ダイゴミ,を味わう。,醍醐味,1145
城の周りに,ゴウ,を巡らす。,壕,1146
執筆のため旅館に,トウリョウ,する。,逗留,1147
虫の大群が,ウンカ,の如く迫る。,雲霞,1148
実態は,ホソク,しがたい。,捕捉,1149
,シュンメ,に跨り敵を追う。,駿馬,1150
,チョウホウ,機関に籍を置く。,諜報,1151
,ホオヅエ,を突くのはやめなさい。,頬杖,1152
この辺りは,ケンペイリツ,が高い。,建蔽率,1153
,トテツ,もない大記録が生まれた。,途轍,1154
,コウトウガン,の治療に専念する。,喉頭癌,1155
彼は,ホリュウ,の質で疲れやすい。,蒲柳,1156
教会で聖人の,ギョウガ,像を見た。,仰臥,2425
尊い行為に,マンコウ,の敬意を表した。,満腔,2426
むずがる子供を,ナダ,めた。,宥,2427
,ダイタイ,部の肉離れを起こした。,大腿,2428
鷹は鋭い爪を持つ,モウキン,類だ。,猛禽,2429
,サンサン,と降り注ぐ陽光を浴びる。,燦燦,2430
風で,ロウソク,の火が消えた。,蠟燭,2431
戦没者に対し,モクトウ,する。,黙禱,2432
,リュウチョウ,な日本語で会話する。,流暢,2433
,アッケ,にとられて立ちすくむ。,呆気,2434
,アタカ,も真昼のように明るかった。,恰,2435
,ソウカイ,な気分で散歩に出かける。,爽快,2436
聴衆の心を,ワシヅカ,みにする。,鷲摑,2437
秘書として,ビンショウ,に動く。,敏捷,2438
妹の図々しさに,アゼン,とする。,啞然,2439
,ウエン,な言い回しで真意が不明だ。,迂遠,2440
娘の,ガンゼ,ない笑顔に心が安まる。,頑是,2441
,アンキョ,排水を施した区画だ。,暗渠,2442
村はずれの大杉に,マツ,わる伝説だ。,纏,2443
,コソク,な手段で悪評を買う。,姑息,2444
,ゼイジャク,な体質を憂える。,脆弱,2445
北海道は,バレイショ,の産地だ。,馬鈴薯,2446
,テイリツ,する三国を描いた小説だ。,鼎立,2447
星々が夜空に,サンゼン,と輝く。,燦然,2448
太陰暦は月の,エイキョ,を基にする。,盈虚,2449
筋肉を,シカン,させる動作を習う。,弛緩,2450
,イビツ,な形状の土地だ。,歪,2451
,ヘラ,でお好み焼きを切り分けだ。,箆,2452
子どもが母親に,マト,いつく。,纏,2453
,アマドイ,に落ち葉が詰まった。,雨樋,2454
,サワ,やかな春の日射しを浴びる。,爽,2455
蔵は,ホウジュン,な酒の香に満ちていた。,芳醇,2456
,バテイ,形をした立派な門構えだ。,馬蹄,2457
隠し事はどこからか,モ,れるものだ。,洩,2458
西洋思想を民衆に,ケイモウ,する。,啓蒙,2459
,タイエイ,的な風潮を憂える。,退嬰,2460
,カンゲキ,を縫って一矢報いた。,間隙,2461
古代都市の,コンセキ,を辿る。,痕跡,2462
持病が,ヤクジ,療法で治癒した。,薬餌,2463
滞在期間は半年,ナイシ,一年だ。,乃至,2464
意外な発言に,アゼン,とした。,啞然,2465
監督の,サイハイ,に不満を持つ。,采配,2466
,モチロン,送料は無料です。,勿論,2467
,ワラビ,はシダ植物に属する。,蕨,2468
口内炎に効く,ナンコウ,を処方された。,軟膏,2469
先輩を,シノ,ぐ成績を残す。,凌,2470
,イチベツ,して無理だと思った。,一瞥,2471
母から,サンゴ,の指輪を贈られる。,珊瑚,2472
完成までは前途,リョウエン,だ。,遼遠,2473
教師,ミョウリ,に尽きるできごとだ。,冥利,2474
叔母は夫の,ホウトウ,癖に悩まされた。,放蕩,2475
和室の,フスマ,を張り替える。,襖,2476
,ジョウトウ,句ばかりの文章だ。,常套,2477
時代の,スウセイ,には逆らえない。,趨勢,2478
海辺の,ドウクツ,を探検する。,洞窟,2479
,ガンサク,を見破った。,贋作,2480
,エイジ,は母に抱かれるや泣きやんだ。,嬰児,2481
,デンプン,は体内で分解吸収される。,澱粉,2482
民間の,ヤクジ,療法が効いたようだ。,薬餌,2483
,ウエン,な手段で時間を無駄に費やす。,迂遠,2484
心を落ち着かせて独り,シイ,する。,思惟,2485
,ギキョウシン,に富み人望が厚い。,義俠心,2486
五日,ナイシ,六日で完成させよう。,乃至,2487
職員会議で激しく,バク,した。,駁,2488
収穫した,ネギ,を市場へ出荷する。,葱,2489
木製の,クツベラ,で革靴を履く。,靴箆,2490
,ワラビ,も芽吹く春になった。,蕨,2491
事故の犠牲者に,モクトウ,を捧げた。,黙禱,2492
,ホウジュン,なワインの香を楽しむ。,芳醇,2493
驚く,ナカ,れ千人以上が参加した。,勿,2494
筋肉が,シカン,する。,弛緩,2495
,マンコウ,の敬意を表する。,満腔,2496
テラスに陽光が,サンサン,と降り注ぐ。,燦燦,2497
,モウキン,類の生態を調べる。,猛禽,2498
借金して急場を,シノ,いだ。,凌,2499
政治家二人との,テイダン,に出席した。,鼎談,2500
,タユ,まぬ努力が実を結んだ。,弛,2501
,モチロン,喜んでお伺いします。,勿論,2502
,オウヨウ,に構えて進展を見守る。,鷹揚,2503
恩恵を,コウム,る。,蒙,2504
防壁が破れ一帯が土砂で,ウズ,まった。,塡,2505
史学より,ムシ,ろ文学に造詣が深い。,寧,2506
庶民の,コウケツ,を絞る悪税だ。,膏血,2507
潮の干満は月の,エイキョ,の影響だ。,盈虚,2508
友人の妻は実によく,シャベ,る女性だ。,喋,2509
当時まだ,ガンゼ,ない子どもだった。,頑是,2510
時,アタカ,も八月十五日。,恰,2511
署長自ら,サイハイ,を振るう。,采配,2512
,ゼイジャク,な精神を鍛え直す。,脆弱,2513
蒸した,バレイショ,が好物だ。,馬鈴薯,2514
値段に,カカ,わらず購入するつもりだ。,拘,2515
,ギョウガ,して休みをとる。,仰臥,2516
都心の川は,アンキョ,になっている。,暗渠,2517
敵陣の,カンゲキ,をついて進撃した。,間隙,2518
,コソク,な考えを改めさせる。,姑息,2519
人形に,ヒヂリメン,の着物を着せる。,緋縮緬,2520
三十分走ると,サスガ,にきつい。,流石,2521
カーテンのすきまから灯りが,モ,れる。,洩,2522
,ゼッポウ,鋭く相手に迫った。,舌鋒,2523
敵を,コウラン,する戦法をとる。,攪乱,2524
,アッケ,ないほど簡単に解けた。,呆気,2525
,シャハン,の情勢により中止した。,這般,2526
山海の珍味が,ショクゼン,にのぼる。,食膳,2527
彼は物わかりのいい,サバ,けた人だ。,捌,2528
,サンゴショウ,の海で泳ぐ。,珊瑚礁,2529
役者,ミョウリ,に尽きる言葉だ。,冥利,2530
友人を,グロウ,されて憤慨する。,愚弄,2531
いきなり主将に,バッテキ,された。,抜擢,2532
学内の事情を,チシツ,している人だ。,知悉,2533
五穀,ホウジョウ,を祈る儀式だ。,豊穣,2534
颯爽と鞍に,マタガ,って出陣した。,跨,2535
,ノコギリ,の目立てをする。,鋸,2536
戦火で財産が,ウユウ,に帰した。,烏有,2537
祭事は晴雨に,カカ,わらず行う。,拘,2538
党内には三派が,テイリツ,している。,鼎立,2539
合格を目指し,アタ,うかぎり勉強する。,能,2540
土砂で井戸が,ウズ,まった。,塡,2541
,ロウ,せずして泡銭を手に入れる。,労,2542
豪華な,ヒヂリメン,の衣装をまとう。,緋縮緬,2543
,テイカン,に事業内容を定める。,定款,2544
,ヒシガタ,の地積を測量する。,菱形,2545
親友とお,シャベ,りを楽しんだ。,喋,2546
母は常に,オウヨウ,に構えている。,鷹揚,2547
雪の重みで鉄塔が,カシ,いだ。,傾,2548
誰もが,シュコウ,できる話ではない。,首肯,2549
目玉商品が,タチマ,ち売り切れた。,忽,2550
チューブ入りの,ナンコウ,を買う。,軟膏,2551
,カキョウ,が実業界で活躍する。,華僑,2552
旧版は新刊より,ムシ,ろ安い。,寧,2553
優勝を,ネラ,って陸上の練習に励む。,狙,2554
,カンゼン,するところがない妙案だ。,間然,2555
修行僧が村内を,タクハツ,して回る。,托鉢,2556
引退してからは,ヤクジ,に親しむ日々だ。,薬餌,2557
,キョウジン,な精神力で乗り切る。,強靱,2558
惜しみない,カッサイ,が送られる。,喝采,2559
,ギゾク,として民衆から称えられた。,義賊,2560
売上金を,カイタイ,して姿を晦ます。,拐帯,2561
彼の技術は,サスガ,に日本一だ。,流石,2562
状況は怪しい,ソウボウ,を呈する。,相貌,2563
,クジャク,が極彩色の羽を広げる。,孔雀,2564
宿敵を倒し,コウコ,の憂いを断つ。,後顧,2565
難事を,ショウヨウ,と受け止める。,従容,2566
父親譲りの,ボクネンジン,だ。,朴念仁,2567
幼児教育の,スソノ,が広がる。,裾野,2568
苦節十年,ヨウヤ,く一人前になった。,漸,2569
,コサイ,となく事実を記録する。,巨細,2570
納得できない主張に激しく,バク,した。,駁,2571
,タンペイキュウ,に事を運ぶ。,短兵急,2572
,フジヅル,は外壁の装飾に使われる。,藤蔓,2573
会社の内情を,チシツ,している。,知悉,2574
部下の怠慢が上司の,ゲキリン,に触れる。,逆鱗,2575
簞笥に,ショウノウ,を入れる。,樟脳,2576
人を,グロウ,するのも大概にしろ。,愚弄,2577
,ゼッポウ,鋭く論戦を展開する。,舌鋒,2578
新入生を主役に,バッテキ,した。,抜擢,2579
船長から,ソウダ,を任される。,操舵,2580
青年期の,ホウトウ,癖がたたる。,放蕩,2581
,シャハン,の事情で製品を回収した。,這般,2582
会談が歴史の,ブンスイレイ,となる。,分水嶺,2583
,リョウエン,なる前途に嘆息する。,遼遠,2584
,イチベツ,をくれてそっぽを向いた。,一瞥,2585
持ち前の,ビンショウ,さは健在だ。,敏捷,2586
庭に水を,マ,いた。,撒,2587
江戸時代の,コッケイ,本を研究する。,滑稽,2588
明日ご,アイサツ,に伺います。,挨拶,2589
手足が,ナ,えたように力が入らない。,萎,2590
客間に鳥の,ハクセイ,を飾る。,剝製,2591
人も羨むほどの,コイナカ,だ。,恋仲,2592
濡れた食器を布巾で,フ,く。,拭,3465
勝利の知らせに,カイサイ,を叫んだ。,快哉,3466
愛馬に,テイテツ,をはめる。,蹄鉄,3467
,コウコウヤ,然とした風貌だ。,好好爺,3468
暗い所では,ドウコウ,が開く。,瞳孔,3469
,アカヌ,けたデザインの洋服だ。,垢抜,3470
口からでまかせの,ホラ,を吹く。,法螺,3471
,ギキョウ,心に駆られ行動を起こす。,義俠,3472
和平の,ショコウ,が見え始めた。,曙光,3473
世間に,ケンデン,して回る。,喧伝,3474
収入が減り生活が,ヒッパク,した。,逼迫,3475
国際政治の,ヒノキ,舞台に立つ。,檜,3476
早く行かねばと気が,セ,く。,急,3477
三連覇の夢が,ツイ,えた。,潰,3478
人生を,テイカン,するには早すぎる。,諦観,3479
社長の,ツル,の一声で決まった。,鶴,3480
不満が爆発し民衆が,ホウキ,した。,蜂起,3481
すねて唇を,トガ,らせる。,尖,3482
山,ヒル,に足の血を吸われた。,蛭,3483
野,ヒル,を天ぷらにして食べた。,蒜,3484
,カバン,を新調する。,鞄,3485
生卵に,ショウユ,を数滴垂らす。,醬油,3486
波の,ヒマツ,が顔にかかった。,飛沫,3487
先輩からの指令に,イハイ,する。,違背,3488
,コトナカ,れ主義の人ばかりだ。,事勿,3489
彼の発言は,フンパン,ものだった。,噴飯,3490
野生動物を,ジュンチ,する。,馴致,3491
,セッコウ,像をデッサンする。,石膏,3492
,セッコウ,が敵情を偵察する。,斥候,3493
仲間はずれにされたと,ヒガ,む。,僻,3494
先祖代々つたわる,ヨロイ,だ。,鎧,3495
瀬戸内海は,カキ,の名産地だ。,蠣,3496
全県に,ワタ,って調査した。,渉,3497
都会の人混みに,ヘキエキ,した。,僻易,3498
橋から転落し,オボ,れそうになった。,溺,3499
,ヒサシ,を貸して母屋をとられる。,庇,3500
会費は月,ゴト,に納めてください。,毎,3501
彼も,マタ,人の子であったと言えよう。,亦,3502
,ワ,き出る泉に足を浸した。,湧,3503
どこも,カシコ,も新しい建物ばかりだ。,彼処,3504
,マレ,に副作用を起こすことがある。,稀,3505
学生は,スベカラ,く学業に精進すべし。,須,3506
,ア,えて苦言を呈する。,敢,3507
帰郷,ジライ,三回の正月を迎えた。,爾来,3508
彼の目つきは,タダモノ,ではない。,只者,3509
,ウド,の若芽は食用になる。,独活,3510
金,マミ,れ政権との批判を浴びた。,塗,3511
その件はちょっと,オ,いておこう。,措,3512
それは,ウガ,った見方だろう。,穿,3513
陛下から勲章を,タマワ,った。,賜,3514
昼,アンドン,とあざけられた。,行灯,3515
食器を茶,タンス,に仕舞った。,簞笥,3516
ドアに,カギ,を掛けたか確かめる。,鍵,3517
,キョウジン,な肉体で労役に堪える。,強靱,3518
ゆく春を,ウラ,み作詞する。,憾,3519
敵の動きを身を潜めて,ウカガ,う。,窺,3520
,ヘイソク,感に支配された社会だ。,閉塞,3521
犯人が,コツゼン,と消えた。,忽然,3522
両親に干渉され,ヘキエキ,した。,僻易,3523
あの人は,イワユル,天才だ。,所謂,3524
損失の,ホテン,に奔走した。,補塡,3525
,ソウメイ,で機転の利く少年だ。,聡明,3526
本山の大,ガラン,を修復する。,伽藍,3527
,ケンコン,の間を真実を求め漂う。,乾坤,3528
課長は社長に,オモネ,っている。,阿,3529
紙に,ケイセン,を引いて表を作る。,罫線,3530
亡き父を,シノ,び墓参りをする。,偲,3531
春、裏の畑が,ネギボウズ,で覆われる。,葱坊主,3532
外国文学に興味が,ワ,く。,湧,3533
ここ,カシコ,に桜が植えられている。,彼処,3534
,ノウエン,な美女が出演する映画だ。,濃艶,3535
,セイゼン,と計画された都市だ。,井然,3536
祖父の,キジツ,に親戚が集まる。,忌日,3537
長年の苦労が,カサ,なり倒れた。,累,3538
鶏やアヒルを,カキン,という。,家禽,3539
父が腕を,フル,った料理だ。,揮,3540
近頃,トミ,に耳が衰えた。,頓,3541
勝ち負けにはあまり,コウデイ,しない。,拘泥,3542
,カモイ,を潜って応接間に入る。,鴨居,3543
経過は,オオム,ね良好だ。,概,3544
,アラカジ,め情報を集めておく。,予,3545
事故の,タダ,一人の生き残りだ。,只,3546
努力の跡が,ウカガ,われる。,窺,3547
,ツブ,らな瞳で見つめる。,円,3548
村落から,ツマハジ,きにされる。,爪弾,3549
,モット,もらしい顔つきで話す。,尤,3550
恋人の美しさに,ホレボレ,とする。,惚惚,3551
二十年に,ワタ,る確執がある。,渉,3552
新鮮な生の,カキ,に舌鼓を打つ。,蠣,3553
,フンヌ,の行相で立ち上がった。,憤怒,3554
前途有望な青年の急逝を,ウラ,む。,憾,3555
自慢の腕を,フル,う。,揮,3556
,ア,えて再選挙を提言する。,敢,3557
