問題上,問題中,問題下,解答,識別文字,識別番号
兄弟ともに受賞し感激も,一入,だ。,ひとしお,一入ひとしお,2175
頭痛が続き,剰,え腹も痛くなった。,あまつさ,剰あまつさ,2176
宿舎の,斜,向かいが食堂です。,はす,斜はす,2177
人生は悲喜,交,だ。,こもごも,交こもごも,2178
,衣,かつぎをほおばる。,きぬ,衣きぬ,2179
不遜な,族,に惑わされる。,やから,族やから,2180
,和,いだ海に小舟を漕ぎ出す。,な,和な,2181
炎天下で汗,塗,れになった。,まみ,塗まみ,2182
友人を演奏会へ,誘,った。,いざな,誘いざな,2183
衝撃的なニュースが,普,く知れ渡る。,あまね,普あまね,2184
子どものくせに小,賢,しい。,さか,賢さか,2185
室内を,帳,で仕切る。,とばり,帳とばり,2186
子どもを,擁,るのは親の務めだ。,まも,擁まも,2187
彼の活躍を,私,かに期待していた。,ひそ,私ひそ,2188
あまりの忙しさに不満を,零,す。,こぼ,零こぼ,2189
進行状況を,実,に報告する。,まめ,実まめ,2190
,負,まれて隣家の子どもを預かった。,たの,負たの,2191
酒好きには,堪,えられない珍味だ。,こた,堪こた,2192
神主として結婚式を,掌,る。,つかさど,掌つかさど,2193
社長の子息に娘を,妻,わせる。,めあ,妻めあ,2194
媚び,便,うのがうまいやつだ。,へつら,便へつら,2195
故郷の母に手紙を,認,める。,したた,認したた,2196
同窓の,好,でサービスする。,よしみ,好よしみ,2197
,抑,の発端は今話したとおりです。,そもそも,抑そもそも,2198
着物の裏地は鮮やかな,丹,色だ。,に,丹に,2199
連なった藤の,英,が美しい。,はなぶさ,英はなぶさ,2200
警察官を増員して,轄,まる。,とりし,轄とりし,2201
芸者が,雅,やかな踊りを披露した。,みやび,雅みやび,2202
過去の歴史を,鑑,みて判断を下す。,かんが,鑑かんが,2203
任務を,完,うし退官した。,まっと,完まっと,2204
,能,う限り迅速に対応します。,あた,能あた,2205
死後は神として,斎,き奉る。,いつ,斎いつ,2206
実情を知り興味を,削,がれた。,そ,削そ,2207
三人目の子どもを,妊,る。,みごも,妊みごも,2208
,斑,入りの観葉植物に水を遣る。,ふ,斑ふ,2209
高熱を発し,虚,ろな目で伏せている。,うつ,虚うつ,2210
,審,らかな自供を求める。,つまび,審つまび,2211
失敗は,固,より覚悟の上だ。,もと,固もと,2212
師匠の教えを生き方の,憲,とする。,のり,憲のり,2213
,脂,下がったところが気に食わない。,やに,脂やに,2214
徹夜に,亜,ぐ徹夜で疲労が溜る。,つ,亜つ,2215
後輩の無礼に,腸,が煮えくりかえる。,はらわた,腸はらわた,2216
ひと,枚,の紙切れに書き留める。,ひら,枚ひら,2217
制度を実情に即して,更,める。,あらた,更あらた,2218
差し,支,えなければ聞かせてください。,つか,支つか,2219
命を,疎,かにしてはならない。,おろそ,疎おろそ,2220
難事業で,勲,を立てた。,いさお,勲いさお,3205
逆境にくじけず,克,くやった。,よ,克よ,3206
,細,やかな送別会が開かれた。,ささ,細ささ,3207
いろいろな方法を,験,してみよう。,ため,験ため,3208
人一倍利に,敏,い。,さと,敏さと,3209
,初,な学生が上京してから変貌した。,うぶ,初うぶ,3210
失礼,仕,ります。,つかまつ,仕つかまつ,3211
,破,れ鍋に綴じ蓋。,わ,破わ,3212
不治の病を,患,える。,うれ,患うれ,3213
,諸,の事情を汲む。,もろもろ,諸もろもろ,3214
もっと,精,しい地図が必要だ。,くわ,精くわ,3215
清い心で神仏を,尚,ぶ。,とうと,尚とうと,3216
石の,陛,に苔がむす。,きざはし,陛きざはし,3217
新春を,寿,ぐ。,ことほ,寿ことほ,3218
目に入れても痛くない,愛,娘だ。,まな,愛まな,3219
,円,かな月を歌に詠む。,まど,円まど,3220
ご期待に,副,えるよう頑張ります。,そ,副そ,3221
予算削減に大鉈を,揮,う。,ふる,揮ふる,3222
校内の風紀を,規,す。,ただ,規ただ,3223
,薄,が高原に群生する。,すすき,薄すすき,3224
仕事は,幾,ど終わっている。,ほとん,幾ほとん,3225
書類に不備がないか,検,める。,あらた,検あらた,3226
よからぬことを,企,んでいるな。,たくら,企たくら,3227
,太,だ畏れ多い話だ。,はなは,太はなは,3228
世界情勢に考えを,運,らす。,めぐ,運めぐ,3229
長い時を,歴,てたどり着いた。,へ,歴へ,3230
救世主と,崇,められている。,あが,崇あが,3231
戦乱の世に生を,享,ける。,う,享う,3232
感激を心に,識,す。,しる,識しる,3233
二年おきに代表者が,迭,わる。,か,迭か,3234
慣れた手つきで角皿に漆を,刷,く。,は,刷は,3235
母親の小言が,煩,い。,うるさ,煩うるさ,3236
趣意を,啓,して引き下がった。,もう,啓もう,3237
士気が,壮,んな若者だ。,さか,壮さか,3238
周辺国の君主が,賦,を捧げる。,みつぎ,賦みつぎ,3239
進退ここに,谷,まる。,きわ,谷きわ,3240
着物を着て,淑,やかに振る舞う。,しと,淑しと,3241
羽織の,領,を外側に折る。,えり,領えり,3242
香を,薫,いて疲れを癒す。,た,薫た,3243
ありんすは,郭詞,だ。,くるわことば,郭詞くるわことば,3244
夜な夜な,謀,をめぐらす。,はかりごと,謀はかりごと,3245
,故,につらく当たる。,ことさら,故ことさら,3246
法に,遵,って判断する。,したが,遵したが,3247
祖父は,歯,百を数える。,よわい,歯よわい,3248
正本と副本を,校,べる。,くら,校くら,3249
何度見ても,異,しい。,あや,異あや,3250
もみじが山々を,彩,なす。,あや,彩あや,3251
きみの意見には,凡,て賛成だ。,すべ,凡すべ,3252
,形,はでかいが、まだまだ幼い。,なり,形なり,3253
動揺しない,貞,しい心をもつ。,ただ,貞ただ,3254
盛者必衰の,理,。,ことわり,理ことわり,3255
,望,の日に月を愛でつつ団子を頬張る。,もち,望もち,3256
豊作を祈願して氏神に,幣,を供える。,ぬさ,幣ぬさ,3257
,卒,かに冷たい強風が吹き荒んだ。,にわ,卒にわ,3258
古株の社員が若社長を傍で,相,ける。,たす,相たす,3259
,予予,考えていた企みを行動に移す。,かねがね,予予かねがね,3260
舞子の白い,項,が目に眩しい。,うなじ,項うなじ,3907
,抑,事の発端は君の不注意からだ。,そもそも,抑そもそも,3908
敵の奇襲に,戦,いた。,おのの,戦おのの,3909
コップの水を,零,してしまった。,こぼ,零こぼ,3910
宝くじの当せん者に,肖,りたいものだ。,あやか,肖あやか,3911
作法に,則,って儀式を執り行う。,のっと,則のっと,3912
,偶,立ち寄った店で旧友に再会した。,たまたま,偶たまたま,3913
寒い冬に温かい鍋は,堪,えられない。,こた,堪こた,3914
成功は,偏,に彼の努力の賜物だ。,ひとえ,偏ひとえ,3915
実り豊かな収穫の,秋,を迎えた。,とき,秋とき,3916
十姉妹を,番,いで飼う。,つが,番つが,4042
辺りはすっかり夜の,帳,に包まれた。,とばり,帳とばり,4043
司会の大役を,仕,る。,つかまつ,仕つかまつ,4044
国の将来を,患,える。,うれ,患うれ,4045
人の欠点を,論,うのはよしなさい。,あげつら,論あげつら,4046
わが国の将来を,慮,る。,おもんぱか,慮おもんぱか,4047
,罷,り間違えば大損したかもしれない。,まか,罷まか,4048
長年の部長の苦,労,を労う。,ねぎら,労ねぎら,4049
,濃,やかな心配りに感謝する。,こま,濃こま,4050
放課後、同級生と街角で,屯,する。,たむろ,屯たむろ,4051
